,Country Name,2016,2017,2018,2019,2020
126,"Korea, Rep.",24050.71771,25898.49091,27227.3589,25925.90475,25281.88674
129,Lao PDR,1789.082871,1848.646709,1948.366734,1967.67873,1961.243634
131,Liberia,369.948472,352.2067002,392.526819,351.6988729,316.6182364
134,Latin America & Caribbean,6963.90407,7647.074768,7280.362443,7124.51193,5870.006702
136,Low income,539.710831,560.2617161,579.6990934,594.0872224,583.6059453
138,Sri Lanka,3511.125496,3669.105972,3656.235844,3460.759223,3314.912279
139,Lower middle income,1834.765508,1935.028028,1919.79005,2009.359972,1903.524318
140,Low & middle income,3446.342714,3728.918682,3834.673539,3892.033567,3669.719736
141,Lesotho,928.7483738,1003.865671,1110.217866,1019.385249,767.3126174
143,Lithuania,12465.34738,14097.59225,16190.2606,16442.82771,17026.26452
144,Luxembourg,58422.10712,65889.46096,69218.72195,61496.24408,67966.54648
145,Latvia,11017.8369,12141.70125,13749.38887,13820.14061,13734.54262
148,Morocco,2528.138672,2670.20459,2835.765381,2859.264404,2687.299316
150,Moldova,2683.069243,3289.434412,3882.279635,4131.002475,4087.180598
151,Madagascar,359.0085293,402.8606857,426.2444946,421.0757813,381.8165769
152,Maldives,7911.786885,8286.995487,8759.499839,8932.401248,5990.085328
153,Middle East & North Africa,5883.524519,5925.535883,5943.633715,5978.72419,5419.942767
154,Mexico,7005.321293,7405.175859,7659.452657,7877.45642,6448.898077
157,North Macedonia,4105.457277,4300.668723,4966.873986,4904.664702,4853.917729
158,Mali,638.0925526,681.5488907,733.2035776,712.7058073,685.8432759
162,Montenegro,6404.529761,7163.288649,8079.614437,8130.210142,6966.316982
163,Mongolia,2872.988522,2571.258063,3004.108083,3140.144435,3017.38627
165,Mozambique,337.1499873,351.7381659,391.8402237,385.2661766,330.8728417
166,Mauritania,1374.578437,1422.264416,1556.564044,1616.88024,1568.169054
167,Mauritius,9155.012717,10138.83933,11114.25556,11064.16186,8333.510002
168,Malawi,252.676386,420.8447963,460.7479905,510.0801765,554.2462681
169,Malaysia,6853.014163,7022.551186,7586.466073,7836.207596,7277.201917
171,Namibia,3913.298961,4647.172616,4809.026926,4337.292249,3622.763465
173,Niger,497.0317179,512.3436858,576.7042049,552.3253613,517.9816546
174,Nigeria,1857.497536,1637.575746,1624.678826,1813.279713,1712.108128
175,Nicaragua,1782.052104,1819.945415,1700.084531,1654.184902,1635.220735
176,Netherlands,37580.52752,40814.50104,44714.29728,43981.22882,42296.02243
177,Norway,58221.4663,61362.51933,65882.89355,60020.46337,53514.24749
178,Nepal,827.1589229,973.8304303,1093.525867,1114.525395,1077.697097
184,Pakistan,1207.528927,1308.149092,1321.524151,1151.822173,1069.517925
185,Panama,12453.33242,13271.82841,13227.07052,13317.1587,10930.23678
186,Peru,5209.18215,5544.501425,5673.815277,5876.248507,5246.904545
187,Philippines,3087.814861,3130.166999,3225.550643,3409.797034,3127.561812
190,Poland,10464.52928,11677.87395,13028.80984,13293.77996,13314.93332
194,Portugal,16028.44761,17258.5117,18806.1677,18618.39184,17468.25136
195,Paraguay,5070.509634,5485.986972,5579.071328,5185.684619,4791.66659
201,Romania,7675.414343,8733.070446,9947.382299,10846.77487,10730.2096
202,Russian Federation,6891.325195,8397.439453,8698.057617,8726.655273,8118.725586
203,Rwanda,584.6867533,597.4540653,616.3275048,649.9281471,637.8535487
204,South Asia,1439.311535,1634.009815,1653.550804,1723.618226,1608.285972
207,Senegal,1123.898024,1213.956608,1296.906298,1260.945431,1298.939536
210,Sierra Leone,358.8988454,397.4735998,423.684223,441.7664691,421.2672386
211,El Salvador,3181.228144,3236.770261,3325.378256,3471.065386,3128.230448
214,Serbia,4680.4751,5026.04952,5868.352728,5939.755291,6310.02024
217,Sub-Saharan Africa,1248.601324,1276.455548,1297.538241,1308.523703,1213.876143
219,Sao Tome and Principe,1075.538544,1247.892172,1396.606241,1449.778071,1633.953642
221,Slovak Republic,13213.36774,14165.23164,15793.77133,15628.63693,15629.18783
222,Slovenia,16729.73336,18449.44482,20762.48577,20735.8331,20263.14226
223,Sweden,43644.71843,45603.21553,46249.28526,44513.96577,44552.07955
224,Eswatini,2629.747555,2982.429938,3168.223764,2886.905604,2486.599422
229,Chad,523.023126,450.9423335,509.9980713,505.1950851,451.0476486
232,Togo,684.5346014,709.0322322,793.7326375,788.3431526,808.2751454
233,Thailand,4521.944284,4985.715042,5453.41046,5938.522678,5581.846441
234,Tajikistan,852.7950914,911.556426,894.7079765,887.5569236,864.9799787
237,Timor-Leste,1243.120336,1255.142555,930.7946606,1428.231864,1650.529782
239,Tonga,3652.376145,4151.242778,4532.399982,4857.893543,4604.986137
243,Tunisia,3436.599333,3297.529623,3349.470925,3235.02624,3263.081529
244,Turkiye,9001.615582,8730.440198,7945.461235,7568.737229,7163.954792
246,Tanzania,783.8713379,825.6345825,882.1920166,940.2564087,917.4588013
247,Uganda,567.8432596,588.2331572,649.5117019,682.3464547,719.4267796
248,Ukraine,1910.593994,2351.48584,2727.390381,3239.06543,3328.540527
249,Upper middle income,6297.504806,6917.584458,7241.413779,7306.661397,6912.130172
250,Uruguay,13497.41809,14925.99336,14840.955,14269.35993,12387.99366
251,United States,49495.07541,51490.42641,53655.97564,55387.9648,53329.0189
252,Uzbekistan,2319.035783,1610.246579,1264.702393,1422.570063,1375.453045
254,"Venezuela, RB",3598.556009744444,3598.556009744444,3598.556009744444,3598.556009744444,3598.556009744444
257,Vietnam,1734.91293,1867.314986,2040.058556,2163.771959,2251.858478
259,World,8358.065779,8798.52563,9151.706127,9201.205289,8741.953666
260,Samoa,3386.142365,3468.846449,3398.342584,3461.843603,3226.87401
262,"Yemen, Rep.",1016.850557,849.1965304,666.4130135,594.5082499724138,594.5082499724138
263,South Africa,4688.121238,5531.361716,5788.14113,5464.485881,4643.188725
264,Zambia,992.8357925,1144.782042,1145.844603,990.1296186,733.3012908
265,Zimbabwe,1221.332601,1013.621411,1019.960476,1054.601646,934.3843411
