,Country Name,2016,2017,2018,2019,2020
85,Guinea,4527476240.0,2299346692.0,2317731048.0,2652082676.0,2111287160.0
86,"Gambia, The",369979323.3,345544621.3,348803797.6,399706135.3,579065065.8
87,Guinea-Bissau,92234661.81,121529180.3,259667569.1,292497184.7,239778933.3
88,Equatorial Guinea,1877062923.0,1711997517.0,1637322406.0,1237747713.0,461288148.1
89,Greece,24794230136.0,24026625231.0,27884619942.0,25526804076.0,28265513633.0
91,Greenland,663160865.8,673416226.2,664365122.1,937520616.5,992448907.8
92,Guatemala,9156346715.0,9742172403.0,10112245186.0,11032732925.0,10300662263.0
95,High income,10832400000000.0,11507000000000.0,12392100000000.0,12645100000000.0,12121300000000.0
96,"Hong Kong SAR, China",69008283627.0,75315659806.0,79561523251.0,66043211373.0,65213608003.0
97,Honduras,5076956427.0,5742577841.0,6395310990.0,5703225412.0,4487879293.0
98,Heavily indebted poor countries (HIPC),210769000000.0,235297000000.0,209103000000.0,216219000000.0,204100000000.0
99,Croatia,10880325985.0,12231634579.0,14441867879.0,14267306252.0,13858533774.0
100,Haiti,2368827413.0,3039059510.0,3078706756.0,3004787769.0,2568402787.0
101,Hungary,27713567851.0,33063567351.0,43048511352.0,46575892796.0,42837372699.0
102,IBRD only,8427080000000.0,9379670000000.0,10260100000000.0,10310200000000.0,9994790000000.0
103,IDA & IBRD total,8931550000000.0,9925810000000.0,10837900000000.0,10932500000000.0,10605200000000.0
104,IDA total,499765000000.0,540147000000.0,570297000000.0,616406000000.0,605034000000.0
105,IDA blend,171935000000.0,168254000000.0,205938000000.0,230112000000.0,226793000000.0
106,Indonesia,315522000000.0,342371000000.0,360319000000.0,378034000000.0,342534000000.0
107,IDA only,332398000000.0,378142000000.0,368843000000.0,390586000000.0,382375000000.0
109,India,692402000000.0,821484000000.0,874214000000.0,855724000000.0,744186000000.0
111,Ireland,112425000000.0,116293000000.0,110135000000.0,219446000000.0,185878000000.0
113,Iraq,29783868105.0,33422989443.0,39983639231.0,53130541540.0,35326554866.0
114,Iceland,4384008718.0,5376285015.0,5850274779.0,5243821439.0,4618543404.0
115,Israel,73637642969.0,82078102157.0,89595277567.0,93901217035.0,98411945472.0
116,Italy,329633000000.0,354184000000.0,387582000000.0,366855000000.0,335269000000.0
117,Jamaica,2996754467.0,3336737923.0,3667086982.0,3841984336.0,3159878693.0
118,Jordan,7994366197.0,8894636233.0,7556387220.0,7142977839.0,6929325829.0
119,Japan,1242690000000.0,1243300000000.0,1289430000000.0,1322670000000.0,1280940000000.0
120,Kazakhstan,38201238310.0,43957469456.0,45298077375.0,50190239095.0,49283556276.0
121,Kenya,14475555739.0,16951463530.0,17865232138.0,19415277968.0,19814297309.0
122,Kyrgyz Republic,2312307532.0,2534426653.0,2978974525.0,3206750892.0,2054572887.0
123,Cambodia,4544969247.0,5076797642.0,5761647727.0,6564704221.0,6437038366.0
124,Kiribati,60668227.77,56249770.08,45384264.79,33070907.19,32242722.46
126,"Korea, Rep.",452174000000.0,524326000000.0,543105000000.0,520115000000.0,524282000000.0
128,Latin America & Caribbean (excluding high income),836507000000.0,911053000000.0,898238000000.0,862634000000.0,689023000000.0
130,Lebanon,11836802437.0,11553636720.0,12345761382.0,6359131031.0,1921477451.0
134,Latin America & Caribbean,997361000000.0,1082820000000.0,1087350000000.0,1046800000000.0,828170000000.0
135,Least developed countries: UN classification,297927000000.0,348006000000.0,328671000000.0,352786000000.0,344686000000.0
136,Low income,146086000000.0,172675000000.0,127200000000.0,138766000000.0,125619000000.0
138,Sri Lanka,32083149089.0,37492502735.0,35961310663.0,30361870460.0,28767470812.0
139,Lower middle income,1932810000000.0,2144720000000.0,2258490000000.0,2297510000000.0,2055220000000.0
140,Low & middle income,8614140000000.0,9576650000000.0,10442600000000.0,10539900000000.0,10251100000000.0
141,Lesotho,608447938.8,512226159.2,577857925.5,644564927.6,684733229.6
142,Late-demographic dividend,6476010000000.0,7172060000000.0,8053050000000.0,8251150000000.0,8197870000000.0
143,Lithuania,8268634881.0,9160660349.0,10941824601.0,9698778996.0,7924363573.0
144,Luxembourg,11156677931.0,12412845263.0,12101790006.0,12770497267.0,12707320059.0
