,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Bulgaria,0.52767992,0.668375254,0.707843781,0.657545507,0.616540432,0.643360615,0.734121799,0.694785178,0.680432558,0.552520037,0.574710846,0.549109817,0.585273623,0.591456354,0.710182667,0.668624163,0.615697503,0.543415308,0.474105209,0.448316187
22,Bahrain,0.867863119,0.621469796,0.702606559,0.659460783,0.682441473,0.76476717,0.711206675,0.692689776,0.712015808,0.716491401,0.684159577,0.602282524,0.704518795,0.815443456,0.604506552,0.412573814,0.414948463,0.483154505,0.626398087,0.849090099
23,"Bahamas, The",1.297623158,1.153908849,1.124398232,1.104997158,1.050473452,1.028546214,1.052829504,0.801063418,0.54899472,0.523855805,0.390349686,0.18655315,0.169124857,0.162390649,0.253657579,0.119374871,0.178465888,-0.050464157,0.011817453,0.064141877
24,Bosnia and Herzegovina,-0.607061386,-0.46620518,-0.23462072,-0.578913093,-0.468090147,-0.286616474,-0.175438628,-0.110355966,-0.119476207,-0.058966167,-0.061737765,-0.074898683,-0.041672681,-0.167333737,-0.128769919,-0.043219082,-0.128680289,-0.112791009,-0.166626409,-0.178626731
25,Belarus,-1.395955443,-1.30027616,-1.190362096,-1.44191277,-1.596236467,-1.42256093,-1.246820211,-1.157031417,-1.188309073,-1.323641777,-1.174061537,-1.159445167,-1.099450231,-1.143447757,-1.079789042,-0.841620028,-0.801075876,-0.663383305,-0.784566402,-0.919227362
26,Belize,0.14991577,0.165346131,-0.118548453,0.068797342,-0.301703036,-0.352246404,-0.382103831,-0.368749797,-0.335602492,-0.37844494,-0.436850935,-0.447350562,-0.461533755,-0.421569586,-0.483711928,-0.539396584,-0.652213216,-0.548786402,-0.536648393,-0.415183604
27,Bermuda,1.422462821,1.414684296,1.438383937,1.359160781,1.34977591,1.378267288,1.398588419,1.405673504,1.389426827,1.36641407,1.321213126,1.319419265,0.880748272,0.908654094,0.86785984,0.839894116,0.821928322,0.844433665,0.94280678,0.955576837
28,Bolivia,-0.090073593,-0.152667001,-0.265374273,-0.693852127,-0.888415873,-0.98601824,-0.864422381,-0.873411775,-0.797301412,-0.763345361,-0.832377791,-0.78638947,-0.886673927,-0.898342431,-1.008276939,-0.976599276,-0.990943968,-0.986101508,-1.01854825,-1.153909087
29,Brazil,0.182567075,0.196701482,0.037414186,0.036901258,-0.041273385,-0.02283462,0.07702741,0.127607271,0.246619865,0.25802207,0.173244089,0.146290123,-0.028219953,-0.164282531,-0.179583877,-0.116344914,-0.28046,-0.109311007,-0.097242095,-0.110795245
30,Barbados,1.082827806,1.122136354,1.079337835,1.154088497,1.000414729,1.080889106,0.881122231,0.584923089,0.505651414,0.642964423,0.448699445,0.45251441,0.335401326,0.561835468,0.477260143,0.490751982,0.541954517,0.410327405,0.480148494,0.560486197
31,Brunei Darussalam,1.051712155,1.001172066,1.196243405,0.910222888,0.935711622,0.986057281,0.78394568,1.084986091,1.108142734,1.14903605,1.145500064,1.098578215,0.980604351,0.848141491,0.589656472,0.713511765,0.684856713,0.632571876,0.915989935,0.993437648
32,Bhutan,-0.50857091,-0.04871612,-0.915191174,-0.286168545,-0.577596843,-0.70974499,-0.765467465,-1.071835279,-1.158943653,-1.154204845,-1.093008518,-1.086755395,-1.014745593,-0.718258858,-0.674993694,-0.326052338,-0.331837833,-0.311885327,-0.285183251,-0.368813068
33,South Sudan,,,,,,,,,,-1.720938444,-1.449887633,-1.517484426,-1.643804073,-1.649637103,-1.79499197,-1.924648523,-2.015225172,-1.965418458,-1.990438461,-1.984556794
34,Botswana,0.900155962,0.844509065,0.763184726,0.720574915,0.610028148,0.63324821,0.644565642,0.607087076,0.578393817,0.576675236,0.692556441,0.635518551,0.764807999,0.564758301,0.736300766,0.605693042,0.632988632,0.509274006,0.539952695,0.614231944
35,Central African Republic,-0.977119625,-1.119567871,-1.201090693,-1.317781329,-1.270379066,-1.265753269,-1.194054246,-1.257949591,-1.162961602,-1.197331548,-1.073146105,-1.169390798,-1.389235854,-1.420393348,-1.407378435,-1.481516957,-1.379378438,-1.363907576,-1.483237028,-1.490334511
36,Canada,1.53391695,1.52460897,1.616421103,1.565749764,1.558656931,1.606389523,1.650943518,1.696578741,1.693430305,1.684840202,1.707194686,1.729890943,1.838725328,1.712831616,1.735729814,1.884537697,1.704930067,1.714652538,1.600482345,1.617245555
37,Switzerland,1.733826637,1.683715343,1.636825681,1.550629139,1.495481372,1.645464301,1.562006712,1.549013495,1.620867133,1.61533618,1.651066184,1.619792342,1.800340295,1.736241698,1.908908963,1.881804347,1.79746151,1.663013697,1.594970226,1.732929707
38,Chile,1.318496346,1.333441377,1.367984176,1.312464714,1.423894644,1.485586524,1.502484918,1.427399278,1.415171146,1.440535307,1.536198139,1.48287189,1.484589577,1.328295946,1.371998668,1.333153367,1.307164192,1.171156168,0.962318957,0.953365684
39,China,-0.582765877,-0.392048836,-0.346228838,-0.183769479,-0.258387208,-0.23336342,-0.2183934,-0.298093945,-0.320954978,-0.25913626,-0.284332842,-0.331608176,-0.331334412,-0.335226595,-0.303584039,-0.164307103,-0.215496302,-0.288801491,-0.185245842,-0.313303292
40,Côte d'Ivoire,-0.420426428,-0.751793325,-1.032016993,-0.955394089,-0.928464115,-0.881731987,-0.929746807,-0.972751558,-0.926222563,-0.889401078,-0.77617842,-0.753439784,-0.618877172,-0.535886943,-0.412956238,-0.390498698,-0.24416931,-0.288290113,-0.367474496,-0.256431401
41,Cameroon,-1.02413702,-0.9727934,-0.720635176,-0.912781835,-0.842229605,-0.836638272,-0.818746328,-0.769573271,-0.753017664,-0.810016274,-0.931122065,-0.959768236,-0.898471713,-0.915610492,-0.799411178,-0.830922008,-0.796862423,-0.831786811,-0.81543833,-0.922730327
42,"Congo, Rep.",-1.000559449,-1.166191697,-1.008587837,-1.298925042,-1.168881059,-1.172009587,-1.222556591,-1.280302286,-1.252167344,-1.25671804,-1.354313612,-1.353200316,-1.222189546,-1.256491542,-1.197329402,-1.399347663,-1.396577239,-1.340916276,-1.584772229,-1.354569435
43,Cook Islands,,,,0.557400227,0.589433074,0.142696366,,-0.941210926,-1.237750173,-1.170443416,-1.141286612,-1.157471299,,,,,,,,
44,Colombia,-0.023263086,-0.126518682,-0.086416334,-0.016363759,0.106225543,0.284262538,0.272389978,0.088281721,0.157253936,0.279601455,0.326594681,0.339824229,0.444412023,0.421045631,0.348109424,0.269794911,0.235878214,0.33172074,0.239718243,0.220075607
45,Comoros,-0.991329432,-1.268216372,-1.410386324,-1.549022436,-1.484882712,-1.438882232,-1.462280512,-1.538727045,-1.395898819,-1.361962438,-1.386602283,-1.216394186,-1.123272777,-1.069913149,-1.088867188,-1.087726712,-1.16871655,-1.176066875,-1.235811234,-1.2474581
46,Cape Verde,-0.259639919,-0.282602161,-0.462027729,-0.365165055,-0.287643552,-0.326841533,-0.188693181,-0.05580043,-0.146439359,0.000159229,0.019716209,-0.115504146,-0.24127388,-0.144566312,-0.183302492,-0.059173293,-0.028914819,-0.017360443,0.168183818,0.273635685
47,Costa Rica,0.4414334,0.623164058,0.546658218,0.594156504,0.382123381,0.450156897,0.56618762,0.518184364,0.586027026,0.596260905,0.743631065,0.747273743,0.656426251,0.677503824,0.536265492,0.445997119,0.486920178,0.559621096,0.492545217,0.45639354
48,Cuba,-1.298667908,-1.457226515,-1.60239172,-1.319814682,-1.432405114,-1.561059356,-1.496801257,-1.602462769,-1.671913028,-1.626945496,-1.561159611,-1.580737233,-1.324815989,-1.226394415,-1.343541741,-1.330947638,-1.46194315,-1.489474773,-1.512909412,-1.443354964
49,Cayman Islands,1.422462821,1.414684296,1.462506533,1.359160781,1.34977591,1.378267288,1.146645427,1.162789583,1.157036424,1.135535717,1.102402806,1.111847997,0.848234236,0.810933888,0.783717752,0.751337171,0.974463463,0.981019139,1.056846976,1.06205523
50,Cyprus,1.193389654,1.181729555,1.219127893,1.220127702,1.276648402,1.33180058,1.367998362,1.360155106,1.42102325,1.231003046,1.124545097,0.910857201,1.094099283,1.057938099,1.049146056,1.028041244,0.871259332,1.010613084,1.004639149,0.859048605
51,Czech Republic,1.11261797,1.136814356,0.999590993,1.109028459,1.108067632,1.053171277,1.222459078,1.309280157,1.297292113,1.195796847,1.053033829,1.078564048,1.001393437,1.094446421,0.982883334,1.230645299,1.27421844,1.243492723,1.244384527,1.348507047
52,Germany,1.510943174,1.501877904,1.469573021,1.515106559,1.568908811,1.616165519,1.488884568,1.516452789,1.570686102,1.548867702,1.529082894,1.544340372,1.697039127,1.718244433,1.813969851,1.781149268,1.761803269,1.721608162,1.587336659,1.631536007
53,Djibouti,-0.669195592,-0.730550408,-0.744668663,-0.845473588,-0.840129256,-0.780036867,-0.723590732,-0.660491347,-0.67632699,-0.589609206,-0.456313699,-0.543590784,-0.575449884,-0.731976092,-0.739352286,-0.674391866,-0.726572931,-0.802925527,-0.8415398,-0.869137228
54,Dominica,0.939704359,0.926884115,0.75061506,0.801017344,0.905649722,0.71949774,0.484056324,0.497561961,0.347569495,0.231762484,0.298656762,0.287560463,0.282481492,0.254842758,0.187672541,0.158777386,0.120427303,0.147474915,0.273228347,0.283553451
55,Denmark,1.711368322,1.73271966,1.748650074,1.649631262,1.803427815,1.92670846,1.873647332,1.878651261,1.873854399,1.898631096,1.799161315,1.800287366,1.681104422,1.729733348,1.572224855,1.61937356,1.635126829,1.563506484,1.79638803,1.808820605
56,Dominican Republic,-0.256923527,-0.390229702,-0.446592063,-0.392353922,-0.233389333,-0.223225877,-0.161350831,-0.163394451,-0.116028167,-0.173335299,-0.061866112,-0.021130007,0.033338461,0.030106442,0.000289518,-0.024819622,-0.016911564,-0.006670678,0.036738392,0.089125387
57,Algeria,-0.574951589,-0.481900811,-0.441777736,-0.341526747,-0.500463128,-0.522581637,-0.624736011,-0.964235187,-1.104800701,-1.212379932,-1.320389032,-1.138440609,-1.30188942,-1.233237743,-1.230026245,-1.259408355,-1.329962969,-1.373277307,-1.339298248,-1.17087245
58,Ecuador,-0.729014635,-0.723995984,-0.699335694,-0.777636588,-1.098829389,-1.136937976,-1.127548575,-1.259179473,-1.12405169,-0.956343532,-0.943592429,-0.83761102,-0.920283794,-1.118197322,-0.946916282,-1.004210353,-0.870987535,-0.780544877,-0.853850186,-0.702785313
59,"Egypt, Arab Rep.",-0.456903666,-0.574796617,-0.56948185,-0.453026265,-0.407716185,-0.317137003,-0.201634988,-0.177818,-0.147598043,-0.246938586,-0.385591775,-0.557433128,-0.687225044,-0.775073707,-0.881517708,-0.79504174,-0.789002001,-0.742943406,-0.556164801,-0.50658381
60,Eritrea,-1.214292169,-1.508441091,-1.591026902,-1.709820509,-2.019072771,-2.018736362,-2.083861828,-2.206664562,-2.163246393,-2.164820433,-2.204118252,-2.227406979,-2.085847378,-2.042139292,-2.102588415,-2.162271976,-2.178006172,-2.177598953,-2.141852856,-2.268742085
61,Spain,1.329032183,1.304303527,1.306747794,1.30437541,1.176645756,1.215253234,1.254889965,1.187052488,1.15819037,1.060738206,0.947154939,0.932680726,0.74645406,0.803421438,1.005098581,0.940882087,0.947160602,1.048474908,0.768865943,0.811001599
62,Estonia,1.263140082,1.17419982,1.225506902,1.247087121,1.29370141,1.322783232,1.388366342,1.392692685,1.388202071,1.385317087,1.410284042,1.439240932,1.670609236,1.664242387,1.695028782,1.640106797,1.550559521,1.589628816,1.539809346,1.559108973
63,Ethiopia,-1.232779026,-1.155828953,-0.99161458,-1.11570704,-1.028316259,-0.982684672,-0.899132013,-0.931926727,-0.848106444,-0.994923115,-1.050038218,-1.135668755,-1.078414083,-1.0364573,-1.100014567,-1.015599608,-0.971507728,-0.897398233,-0.959099114,-0.928053856
64,Finland,1.815653443,1.826323748,1.780430794,1.661587238,1.601819754,1.548881292,1.610931396,1.809459329,1.873101711,1.813329816,1.821589112,1.841672182,1.877657652,1.831471682,1.814362049,1.817978024,1.784577489,1.84962523,1.860526443,1.898075581
65,Fiji,0.14991577,-0.282602161,-0.727014661,-0.399358898,-0.383677423,-0.372163326,-0.700911939,-0.971093595,-0.564225972,-0.451289445,-0.587406158,-0.525646508,-0.256007999,-0.218076706,-0.218169883,0.078874923,0.052750777,0.048882902,-0.096341453,-0.004540864
66,France,0.975888848,1.215464473,1.21646452,1.244961619,1.239821672,1.287566423,1.284252644,1.214702845,1.310160756,1.156042576,1.124174118,1.149894834,1.074068427,1.125261545,1.066853166,1.154984117,1.154914618,1.438735008,1.198949456,1.235557437
67,"Micronesia, Fed. Sts.",,,0.449361145,0.382686883,0.384345442,-0.233671769,-0.521241605,-0.65398711,-0.754009664,-0.911160231,-0.952287197,-0.944317877,-1.053829312,-0.997045457,-0.97568804,-1.007608414,-0.986513793,-0.966226518,-0.959057033,-0.785964131
68,Gabon,-0.078409515,-0.058016263,-0.430164129,-0.060104385,-0.301130533,-0.382520467,-0.560679853,-0.477560759,-0.435533315,-0.45647487,-0.532351732,-0.614103138,-0.693132579,-0.7124089,-0.70697397,-0.696574032,-0.874086499,-0.941352606,-0.866582453,-0.808025301
69,United Kingdom,1.708124042,1.647805929,1.726345778,1.613183498,1.839908719,1.868066311,1.785267949,1.581597805,1.730519772,1.649374008,1.637840033,1.761087894,1.819528937,1.840741992,1.757630944,1.712493777,1.776036501,1.624371767,1.485245943,1.465596676
70,Georgia,-0.736232042,-0.617242515,-0.437420189,-0.604643524,-0.128548279,0.29865846,0.475642592,0.508792341,0.586639822,0.651625037,0.664130926,0.725804985,0.760027528,0.765643656,0.86886698,0.957064092,1.03835392,1.033326149,1.011490703,1.060541391
71,Ghana,-0.508185565,-0.280945212,-0.380256206,-0.183413431,-0.107713647,-0.11200542,-0.111344561,0.037200317,0.053548459,0.08171653,0.098503292,0.06181078,-0.047670737,-0.090659901,-0.289217651,-0.17200318,-0.132535592,-0.169835433,-0.117155604,-0.200255007
72,Guinea,-1.113725543,-0.970146477,-1.01313293,-1.037126303,-1.143164992,-1.187397957,-1.166003227,-1.123585939,-1.059894323,-1.00237,-1.019625306,-1.024412274,-1.069671392,-0.879648924,-0.878493071,-0.84972924,-0.793029249,-0.795880973,-0.86191231,-0.964260876
73,"Gambia, The",-0.527075648,-0.474271208,-0.517802238,-0.614453137,-0.483886421,-0.485150635,-0.493136615,-0.412360966,-0.480537474,-0.351987541,-0.257835358,-0.377716362,-0.498851091,-0.561227441,-0.57076776,-0.495048761,-0.659789145,-0.701143265,-0.743719399,-0.873302341
