,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Bulgaria,0.467512369,0.173525497,0.003630734,0.14727059,0.39442119,0.357635468,0.369860709,0.353678972,0.36009106,0.301750302,0.379833996,0.170710385,0.078540899,0.017322188,0.077333264,0.332049906,0.456277937,0.578860998,0.418060213,0.458269119
22,Bahrain,0.290830374,0.483918995,0.313402563,0.014162739,-0.365050614,-0.247773513,-0.237366229,-0.137239441,-0.493476391,-0.950841904,-1.129954934,-1.335417747,-0.907474875,-1.073540211,-0.793425679,-0.961563706,-0.850452602,-0.627359509,-0.617841721,-0.505110562
23,"Bahamas, The",0.955541909,0.826347828,0.890613675,0.938143432,0.810453713,0.730122447,0.774532914,0.859580457,0.993692219,1.103621483,1.184026003,1.134824634,0.956470132,0.907476485,0.975418746,0.989585459,0.862895131,0.816237688,0.845505297,0.876719475
24,Bosnia and Herzegovina,-0.163837284,-0.405683517,0.017319396,-0.500624359,-0.441336751,-0.631416619,-0.539653778,-0.665914297,-0.693730175,-0.819794893,-0.538148701,-0.404944122,-0.019179042,-0.402437001,-0.397838831,-0.348237306,-0.395599693,-0.418754309,-0.443297356,-0.380582392
25,Belarus,0.30280596,0.69302994,0.161766872,0.360231072,0.148469687,0.341008782,0.521403909,0.489347756,-0.094990097,-0.087769009,0.06861522,0.005959166,0.179782152,0.110016517,0.142281473,-0.053483382,0.348057151,0.332389116,-0.895924509,-0.736605406
26,Belize,0.417992562,0.486082047,0.401561916,0.104911745,0.08197704,0.194921583,0.190071985,0.028430205,0.070427686,0.15190886,0.180257618,0.176189259,0.048583075,0.043097582,0.060622137,0.035725731,0.003179708,0.063038863,0.517693102,0.460716963
27,Bermuda,0.792559922,0.851720035,0.893765926,0.819073558,0.774651468,0.771330535,0.795972288,0.693532228,0.911838114,0.964122117,0.980253696,0.970303059,0.913897812,0.983049035,0.999670088,1.001911044,1.152474523,1.065073848,1.007451892,1.006151438
28,Bolivia,-0.286515564,-0.83488518,-0.680570841,-0.971029878,-0.802562952,-0.852070689,-0.696565807,-0.506110489,-0.415407211,-0.417126507,-0.458068103,-0.328593433,-0.333112091,-0.268487215,-0.248866364,-0.278028756,-0.287118524,-0.730085671,-0.459805071,-0.318567306
29,Brazil,0.327800274,0.004213934,-0.275992811,-0.263379753,-0.294911116,-0.357948095,-0.313424706,0.163664222,0.013475911,-0.132575423,0.045961641,-0.258553296,-0.070290133,-0.331458092,-0.377205431,-0.473864615,-0.440423459,-0.713788211,-0.431489855,-0.485006988
30,Barbados,1.097199082,0.918948591,1.094352722,1.112918854,0.913211882,1.044206381,1.068358302,1.047740698,1.06063664,1.246130109,1.185965657,1.26692915,1.277919888,1.135361314,0.976609886,0.966827691,0.913432479,1.049227476,1.1284163,1.122221947
