,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5,Albania,0.24017513206641264,0.24582630626169732,0.0,0.059337396306590226,0.1144363918237937,0.19214011102175071,0.20061687233586967,0.16388421313158452,0.12432593997949003,0.1144363918237937,0.13704111550454726,0.1426922897139599,0.3092608005147238,0.1624714128684556,0.17094818760412608,0.2815700200454989,0.179424948918245,0.1487672985771788,0.18987962788817825,0.1812615838351802,0.17532784428928888,0.18394590176383843,0.18535868860541585,0.1501800988403077,0.11938117932319339,0.1315311971909107,0.1565376731812848,0.18196798396674466,0.20061687233586967,0.21234306883005272,0.20923492981041922
9,Argentina,0.2311270461420943,0.2610093910915009,0.24403916788841445,0.1750515226251867,0.14443134261014745,0.014572272447039656,0.045745806755352836,0.08798691925003506,0.12801450887665333,0.10219024782352272,0.0846666527482261,0.041872186144728915,0.0,0.07802613745266572,0.11196656626145644,0.14904281592067806,0.17542044897514006,0.20511833069423227,0.21673924553960125,0.20179808186358902,0.21913721378235487,0.22891354107431738,0.22817570604557644,0.23038921111335336,0.22725340786030468,0.2350929116120268,0.2707857161791791,0.20733183578045514,0.19128391076264042,0.17984745905535632,0.14996511408750388
10,Armenia,0.2705791506993072,0.19509356878452966,0.3485342693569118,0.29091168725759303,0.26950902007650196,0.2678626622808778,0.22505731221242736,0.20036192158695385,0.22341096225347384,0.19377649033860295,0.16611765570076226,0.16776401343053204,0.15475776719744855,0.1639773787159561,0.15714499578377095,0.014981859868393095,0.1634834753482877,0.2166608756240058,0.0,0.07458005965306568,0.06519581614820769,0.07458005965306568,0.09334857777897383,0.11178778517557485,0.09005584651438427,0.07754351146917625,0.08808020143361055,0.0867631152497947,0.16068466309178064,0.17731289657731153,0.17764216022074047
13,Australia,0.15231463568815623,0.04986951060079047,0.005412208622057765,0.0,0.04445730224934249,0.09278047270978884,0.09123413272407896,0.09703293529201532,0.12332073341188841,0.15463414562806255,0.17744266956002744,0.15965975980168065,0.1739634138122411,0.19097317205651332,0.21184878022640174,0.2257658400204738,0.23543047411256307,0.25089389237112536,0.2566926764989399,0.20527682606707373,0.21880731012343776,0.22383292425839735,0.2184207343470712,0.20141097614145753,0.18517438789004026,0.18633413365926177,0.19947804193925922,0.2041170618577304,0.2153280359355296,0.22074024432563608,0.1704841396629914
14,Austria,0.3561307203358233,0.3345854353710169,0.31304018056959604,0.22939380661346484,0.3193770201723421,0.21798746498770477,0.09885475886468371,0.11533057222333536,0.07350740032696249,0.17236221964515397,0.17362955735162303,0.25981063688407763,0.15335167042005657,0.16222321572586296,0.011406341625760074,0.048160041789241374,0.09378528713179204,0.14574746294745602,0.23573067650633323,0.08744847769243154,0.14954953652037076,0.17996642724449144,0.14574746294745602,0.08744847769243154,0.04942737949571032,0.03295156613705868,0.0,0.06336845686117926,0.14321272708101024,0.19010537058353774,0.10899376278397473
15,Azerbaijan,0.2261635230016237,0.24950644259977509,0.2485789093095906,0.24316829904534798,0.2411586437610587,0.2388398100950191,0.23729392191185925,0.23528426662756996,0.2337383775168769,0.0,0.06910123083758568,0.08255046101773326,0.09599969135246973,0.10944892159445284,0.12769041343763488,0.13897539415712684,0.14886908739347582,0.15335216415110944,0.16061783798123805,0.16247291008042988,0.16417338239167925,0.16741974933244452,0.1709752937274269,0.17437625308224533,0.1753037854448966,0.17453083812240922,0.17391248321397504,0.17453083812240922,0.17484001557662635,0.176231317792089,0.1405212888021016
16,Burundi,0.2322513163469432,0.19067970523753688,0.1266044507020375,0.1474761507513273,0.1618200751461102,0.17616399903413166,0.14970933230068695,0.1393164332403012,0.07137605529033389,0.0,0.13905875820399566,0.20218920019604583,0.150825928190221,0.17925609990784647,0.16027402290123127,0.195919102146008,0.18586976518258283,0.19059381356449448,0.2124962116890152,0.1760781058150376,0.19729336949875045,0.20854519044306577,0.21928166005216107,0.15967278117275607,0.21352691181705916,0.20004190623128087,0.1809739375430341,0.17255654500429163,0.21026302603402952,0.20880286547937135,0.2228032231733954
17,Belgium,0.1911152080340923,0.2126156708381307,0.23491246537097163,0.12502119414852567,0.0,0.024685675766787544,0.013537335516413214,0.05574192939568766,0.026278339224392516,0.07963134932234846,0.24367188640324583,0.27632076550559725,0.2181898789872872,0.15687374152207456,0.18235574893803316,0.0963539357856643,0.11148385871174382,0.1743926216504078,0.2126156708381307,0.13855852966493876,0.1082986077648412,0.19987466713015142,0.16802211975660253,0.09715019154615954,0.08998335792355174,0.09316868483876167,0.14492903147911274,0.20385621174207158,0.294635977362733,0.3416184475827301,0.32648848667249697
18,Benin,0.1716990560620791,0.16829709186181907,0.20451799226675846,0.21112180061289476,0.20391764407051116,0.17289975239453909,0.17430056159723817,0.1534885529965507,0.15508947508950036,0.15829132403814747,0.16569559347078164,0.16369444087460613,0.2373369260300293,0.14288243463528097,0.1821050591717359,0.21912641940244584,0.13627862148637387,0.16689628980324164,0.1821050615531098,0.0,0.22332884584987345,0.1588916650702616,0.2327342714807613,0.1388801222787967,0.22813161571078902,0.1839060988976724,0.08985183564478758,0.12467192680700481,0.20611891431968507,0.21692515033395313,0.20471810869905258
19,Burkina Faso,0.2690355959891281,0.2784320567577344,0.24035165457252572,0.21463501764845186,0.23243884455416766,0.21142043509654765,0.1876819991810474,0.19534753408260655,0.23936254817072147,0.22551512919203406,0.23614797147924343,0.2537045232681604,0.22304237790040765,0.2225478276668099,0.1268522527692584,0.1622126373984999,0.1444088104680565,0.19683119074273606,0.15207435123004187,0.13179776712281852,0.1332814178977943,0.12981956613897244,0.0,0.0979210450883152,0.039564055878033834,0.07640807946248876,0.08283724459102465,0.10484474868014153,0.12808863433731657,0.11325211484197853,0.0734407779125371
