,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5,Albania,0.03988682520054942,0.04221800527724509,0.0442775266283386,0.05328953183765916,0.050695854558421294,0.0486421938298896,0.05215409752667338,0.06054622851404615,0.0646007676581143,0.07031035680660594,0.07407116771514576,0.07582571238099556,0.07776514264953786,0.07941379997566132,0.09482816068738215,0.11055808723309396,0.12699321981041295,0.14630164507636617,0.15300321210159215,0.15916643569117267,0.21238964987995168,0.2377979273214182,0.2824854131605477,0.30814623057211626,0.31362190737469825,0.2956228582175258,0.27833690806255684,0.2735379569581574,0.26202949126977976,0.2849954635779482,0.2756255676103131
9,Argentina,0.09374667574725075,0.10180256503269024,0.0980931550569214,0.11391600234765095,0.09881737606540479,0.12661647721968142,0.13167979960125292,0.12941080578097625,0.12541530488827027,0.13041212603864008,0.1441207836332747,0.15759883247120116,0.16757950588529563,0.1740625796750112,0.1748880888128011,0.17083219321208268,0.17883893907296075,0.17736180441214078,0.18175588064598566,0.18749644450061717,0.19557498306210516,0.203763181996875,0.20683145162150207,0.20890817302902268,0.2163109616079169,0.22433941745271305,0.23291605292855155,0.24024716086704964,0.24463257756508322,0.2549073595800781,0.26483777708623035
10,Armenia,0.10265616435831058,0.11217590071821736,0.11211139259886714,0.10187232953430275,0.08460432832819734,0.08441777371621113,0.07493480150929623,0.10051237682866912,0.14852668659013754,0.1557767242837134,0.15726926248726672,0.14840156866148715,0.15991064432842675,0.1646531767100063,0.16759181058734787,0.17495155855262687,0.19073865751453611,0.20319458915687433,0.21451269713497662,0.2270998895337549,0.23441952346878958,0.23596182868608587,0.20419922823656103,0.20233833983607408,0.20828763397744773,0.2058085138783534,0.2259744358891658,0.23115634916372052,0.241415190802169,0.22777647803000517,0.22480837884080604
13,Australia,0.07723604472271949,0.08368830371397876,0.08671874535011143,0.14321224952122263,0.14630304317827506,0.15440539640879852,0.16523783096090497,0.17672479713049638,0.1346816077385279,0.14152087462065982,0.13076626359854562,0.1541699243357348,0.14415761239625974,0.1488577861788475,0.1532635673910846,0.1716935746089613,0.1762208664569956,0.1775144012795062,0.18177942551164733,0.18202255347780621,0.1829901723549628,0.18595878542364713,0.18505122359885623,0.18568882029491043,0.18685388519835844,0.25908230652646974,0.264226019023805,0.24713698831872186,0.23548567276539856,0.2532746301674203,0.24942554915789553
14,Austria,0.08978862080368136,0.09574348917370348,0.10379173640670301,0.10974886811688049,0.11663475873881074,0.12411985542063575,0.13105646587940678,0.1367867583129422,0.14459447040659337,0.1529673079547901,0.13842334676173104,0.16671867700318405,0.15320003616015077,0.15730897079927134,0.16106519287891674,0.18181490368627257,0.18461009689334396,0.17398734997324225,0.1818236328176767,0.18796587413269364,0.20869383582408163,0.21662963189797252,0.21784238207453724,0.2198196358245243,0.21844891506898875,0.22275593512131606,0.2303049843259767,0.234726434635425,0.23922797557754275,0.23864068624530976,0.2406713758624011
15,Azerbaijan,0.19298298142684822,0.19745185113847455,0.2012789145112244,0.17724833747018254,0.15435346277122844,0.1465984729137294,0.14418831479067176,0.14023732859184956,0.1430195120363354,0.18806549221312513,0.13237506729387735,0.16614103436836059,0.1714955326252072,0.13678109500334962,0.17544993056596608,0.17740220730905212,0.1578182191225486,0.15443001898038605,0.15190430406091088,0.1519826247084281,0.15359617571612402,0.15668460061206926,0.16299390633305919,0.17098448176736847,0.1846956728374251,0.203225020241799,0.206759639978553,0.21585887300201473,0.22097148080349535,0.2515287569654267,0.2811014656768962
16,Burundi,0.04545130945012924,0.05094643981376428,0.055114377086612404,0.06208294596124663,0.047444620388595836,0.07625122125717954,0.06173739538534526,0.09405785296690601,0.061207425337450175,0.06761366862275835,0.07917984691182119,0.07755045506669864,0.12181175673918616,0.11018850888669901,0.1582283248595502,0.15939373661945,0.15877771411310362,0.16107036886141726,0.1726766598601742,0.18250214912808607,0.21060420266291274,0.23921835606902364,0.19860900392168368,0.244445329420008,0.2941855736619129,0.33215646898507983,0.23820086746558697,0.2535298914380879,0.2625691724631027,0.25389226310718016,0.3214787553560171
17,Belgium,0.10775388115142799,0.11182588584909525,0.11655572211336078,0.12825034013637548,0.1370082660032581,0.15279192676217562,0.15854679706608607,0.1468721884483331,0.144454566763501,0.16335124313808994,0.16633045412876704,0.16829568078176535,0.16980099906882085,0.1710925558773433,0.17449072711385216,0.17466975793480655,0.1762942337453226,0.17499759383942232,0.17753136029899305,0.18662850992885188,0.19395242224227263,0.19970994315359752,0.20356870993467832,0.20620932984023987,0.2087310758493724,0.21319854521421688,0.21700410343264473,0.2277872710492381,0.2256125042681494,0.22914961989524812,0.23129585169242098
18,Benin,0.04336699568274357,0.04950229278506792,0.04659188482318256,0.042157559699150644,0.04313822845383516,0.04312897011598866,0.04250322659201842,0.051548332049740284,0.03939970631159994,0.06570541037550343,0.07467727424580044,0.09047818674564266,0.10707706697175456,0.11884183951336937,0.12037702495563647,0.1189951536871743,0.13703687587199637,0.16372309102996488,0.1619136765735468,0.20587119571486828,0.2771602023679227,0.25866498482476413,0.280783483068695,0.32121813379555925,0.32099036904286476,0.27269971881982386,0.2605464321185865,0.24695997424349714,0.25184618765331757,0.22416844794779633,0.2231217860415001
19,Burkina Faso,0.037331974261515403,0.03461228933952822,0.045923078906713356,0.05342295330009623,0.05205570157347798,0.054205081709565825,0.052056690446642254,0.047858163261008765,0.08966260596948339,0.04933404181840521,0.06121306219926497,0.05711239804371058,0.069709460021803,0.07906047856200941,0.09995474622476588,0.11392952089116375,0.12052777112984368,0.1289821041040596,0.15707070657208844,0.1744854795539407,0.17674102315169044,0.2047427218047515,0.22510331268779413,0.23586158558244202,0.25068554889418976,0.2500367251990758,0.27463290569277693,0.2964298699292834,0.3210428378620795,0.35038560055767487,0.3872998491086866
