,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Bahrain,-0.571163654,-0.590705574,-0.561549425,-0.743174851,-0.903966546,-0.856526554,-0.868917525,-0.790999949,-0.965909421,-1.217316866,-1.318024635,-1.317464471,-1.311059237,-1.313060999,-1.372028351,-1.387256622,-1.421438694,-1.429232478,-1.453997374,-1.501595616
23,"Bahamas, The",1.18893683,1.032271743,0.984539509,0.942519128,1.020233631,1.098432422,1.121914268,1.007145405,0.988209546,0.960108459,0.934573889,0.924448729,1.047378421,0.951491833,0.852161884,0.849594116,0.764847279,0.90619415,0.918854296,0.913772166
24,Bosnia and Herzegovina,-0.087044537,0.209610522,0.168824628,0.213584736,0.187260136,0.131010443,0.015152005,0.003171806,-0.082449205,-0.159755006,-0.100325391,-0.116462924,-0.070960574,-0.098089233,-0.131173372,-0.205770269,-0.26597783,-0.243082657,-0.321430176,-0.313323438
25,Belarus,-1.451897144,-1.458550215,-1.597364068,-1.766817331,-1.753809452,-1.704453945,-1.593317866,-1.547644138,-1.555072069,-1.660208344,-1.567181349,-1.544428706,-1.442869425,-1.465073943,-1.339388609,-1.355983019,-1.366682768,-1.407921314,-1.454194069,-1.583830237
26,Belize,0.796831012,0.842791498,0.74007237,0.688429117,0.544680774,0.526492059,0.646870255,0.744926631,0.685301244,0.695515275,0.695277274,0.711436152,0.520108461,0.578148723,0.570842862,0.570629537,0.422355801,0.50560379,0.525966644,0.550501943
27,Bermuda,1.125523925,1.200390577,1.134971619,1.153230071,1.017273426,0.972128868,0.967198193,0.963811636,0.988284409,1.009051681,1.025671721,1.004767299,,,,,,,,
28,Bolivia,0.140369892,-0.056417342,-0.170450285,-0.156710431,0.07646361,0.042223975,0.002961708,0.006946584,-0.039241143,-0.068237789,-0.081585295,-0.068993047,-0.026304649,-0.004657394,-0.036398344,-0.024626527,-0.066654518,-0.116381519,-0.083516799,-0.109920748
29,Brazil,0.472238034,0.442828864,0.388609469,0.45767951,0.500075698,0.537074029,0.568985701,0.52199918,0.571348906,0.513676167,0.477906197,0.417426258,0.471947551,0.458866268,0.451864898,0.448033065,0.366284221,0.302300245,0.295445383,0.278196901
30,Barbados,1.231308818,1.155707598,1.104969382,0.949198723,1.037203312,1.029950738,0.946911216,1.127871275,1.136577249,1.114058733,1.132978678,1.137358308,1.145087719,1.096554518,1.08579421,1.113593578,1.091522932,1.102835178,1.129210949,1.132365346
31,Brunei Darussalam,-0.833585382,-0.776591659,-0.797836304,-0.776663303,-1.098655343,-1.061536789,-1.018134356,-0.7307145,-0.650570631,-0.610339284,-0.506374061,-0.505072594,-0.625015438,-0.754139483,-0.900963008,-0.948658228,-0.862689853,-0.967858493,-0.930800736,-0.848210752
32,Bhutan,-1.290270805,-1.146781921,-0.965037107,-1.072155476,-1.058763504,-0.872591913,-0.505405188,-0.461808324,-0.416917324,-0.404029369,-0.280920058,-0.158783659,-0.1029386,-0.034806281,-0.025891906,0.010953102,0.034847133,0.074761286,0.153539494,0.22564517
33,South Sudan,,,,,,,,,,-1.114089131,-1.33308959,-1.442379832,-1.618767381,-1.59546876,-1.798077345,-1.823845863,-1.990345001,-1.988548875,-1.815015435,-1.72650528
34,Botswana,0.666893184,0.70607698,0.735869944,0.594607651,0.513100147,0.507903636,0.513504624,0.437099367,0.455533385,0.425984055,0.532969713,0.489367247,0.447524369,0.450683594,0.403236479,0.393603384,0.453582108,0.498391122,0.490897,0.457586139
35,Central African Republic,-1.003465772,-1.248254657,-1.309359193,-0.994375527,-1.014793515,-1.083287358,-0.9880777,-1.00347209,-1.10421741,-1.087498307,-1.241135001,-1.474687338,-1.391003728,-1.223749876,-1.080355525,-1.106176496,-1.207438707,-1.222213626,-1.304860711,-1.195577979
36,Canada,1.499053836,1.547556758,1.668454528,1.506879449,1.415594816,1.384671569,1.40752852,1.401895523,1.352658749,1.380144596,1.437505364,1.453486681,1.412388206,1.467146516,1.44514811,1.477725148,1.490133643,1.431864738,1.475401282,1.457884431
