,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
5,Albania,9.5,9.100000381,26.5,22.29999924,18.39999962,12.89999962,12.30000019,14.89999962,17.70000076,18.39999962,16.79999924,16.39999962,4.610000134,15,14.39999962,6.570000172,13.80000019,15.97000027,13.06000042,13.67000008,14.09000015,13.47999954,13.38000011,15.86999989,18.04999924,17.19000053,15.42000008,13.61999989,12.30000019,11.47000027,11.68999958,=
9,Argentina,7.059999943,5.440000057,6.360000134,10.10000038,11.76000023,18.79999924,17.11000061,14.81999969,12.64999962,14.05000019,15,17.31999969,19.59000015,15.35999966,13.52000046,11.51000023,10.07999992,8.470000267,7.840000153,8.649999619,7.710000038,7.179999828,7.21999979,7.099999905,7.269999981,6.845000028,4.909999967,8.350000381,9.220000267,9.840000153,11.46000004,
10,Armenia,6.535000086,11.12000036,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,12.87999964,12.77999974,13.57000017,13.01000023,13.42499972,22.05999995,13.03999996,9.81000042,22.96999931,18.44000053,19.01000023,18.44000053,17.29999924,16.18000031,17.5,18.26000023,17.62000084,17.70000076,13.21000004,12.19999981,12.18000031,
13,Australia,6.929999828,9.579999924,10.72999954,10.86999989,9.720000267,8.470000267,8.510000229,8.359999657,7.679999828,6.869999886,6.28000021,6.739999771,6.369999886,5.929999828,5.389999866,5.03000021,4.78000021,4.380000114,4.230000019,5.559999943,5.210000038,5.079999924,5.21999979,5.659999847,6.079999924,6.050000191,5.710000038,5.590000153,5.300000191,5.159999847,6.460000038,
14,Austria,3.25,3.420000076,3.589999914,4.25,3.539999962,4.340000153,5.28000021,5.150000095,5.480000019,4.699999809,4.690000057,4.010000229,4.849999905,4.78000021,5.96999979,5.679999828,5.320000172,4.909999847,4.199999809,5.369999886,4.880000114,4.639999866,4.909999847,5.369999886,5.670000076,5.800000191,6.059999943,5.559999943,4.929999828,4.559999943,5.199999809,
15,Azerbaijan,1.619999975,0.109999999,0.170000002,0.519999981,0.649999976,0.800000012,0.899999976,1.029999971,1.129999995,16.25,11.77999973,10.90999985,10.03999996,9.170000076,7.989999771,7.260000229,6.619999886,6.329999924,5.860000134,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,4.960000038,4.940000057,4.849999905,7.159999847,
16,Burundi,0.479999989,2.899999977,6.630000115,5.414999962,4.579999924,3.744999915,5.285000205,5.889999986,9.84499979,14,5.904999972,2.23000002,5.220000029,3.565000058,4.669999958,2.594999999,3.180000067,2.904999971,1.629999995,3.75,2.515000045,1.860000015,1.235000029,4.704999924,1.570000052,2.355000019,3.464999915,3.954999924,1.759999991,1.845000029,1.029999971,
17,Belgium,7.25,6.980000019,6.699999809,8.079999924,9.649999619,9.340000153,9.479999542,8.949999809,9.319999695,8.649999619,6.590000153,6.179999828,6.909999847,7.679999828,7.360000134,8.43999958,8.25,7.460000038,6.980000019,7.909999847,8.289999962,7.139999866,7.539999962,8.430000305,8.520000458,8.479999542,7.829999924,7.090000153,5.949999809,5.360000134,5.550000191,
18,Benin,2.330000043,2.415000081,1.50999999,1.345000029,1.525000036,2.299999953,2.264999927,2.784999967,2.745000005,2.664999962,2.480000019,2.529999971,0.689999998,3.049999953,2.070000053,1.145000011,3.215000034,2.449999929,2.069999993,6.620000005,1.039999962,2.650000095,0.804999977,3.150000036,0.919999987,2.025000036,4.37500006,3.504999996,1.470000029,1.199999989,1.504999966,
19,Burkina Faso,1.839999973,1.650000036,2.419999957,2.939999938,2.579999924,3.004999995,3.485000014,3.330000043,2.440000057,2.720000029,2.504999996,2.149999977,2.769999981,2.779999971,4.715000153,4,4.360000015,3.299999952,4.204999924,4.61500001,4.585000039,4.654999971,7.279999971,5.299999953,6.480000019,5.735000134,5.605000019,5.160000086,4.690000057,4.99000001,5.795000077,
20,Bangladesh,1.489999995,2.200000048,2.554999948,3.074999928,3.189999938,2.995000005,2.50999999,3.61500001,3.334999919,8.549999953,3.269999981,3.044999958,3.460000038,4.320000172,4.259999991,4.25,3.589999914,3.820000053,2.914999902,5,3.380000114,3.039999962,4.294999838,4.429999828,2.834999979,3.50000012,4.349999905,4.369999886,4.819999933,4.769999981,3.320000053,
21,Bulgaria,1.700000048,11.10000038,15.30000019,16.39999962,12.80000019,11.10000038,12.5,13.69999981,12.19999981,14.10000038,16.21999931,19.92000008,18.11000061,13.72999954,12.03999996,10.07999992,8.949999809,6.880000114,5.610000134,6.820000172,10.27999973,11.26000023,12.27000046,12.93999958,11.42000008,9.140000343,7.570000172,6.159999847,5.210000038,4.230000019,5.119999886,
