,Country Name,2016,2017,2018,2019,2020
134,Latin America & Caribbean,1467320000000.0,1631930000000.0,1651460000000.0,1617030000000.0,1339650000000.0
136,Low income,105949000000.0,120010000000.0,117242000000.0,119989000000.0,123219000000.0
138,Sri Lanka,26828529471.0,29377700976.0,28401845161.0,25984374749.0,23809657109.0
139,Lower middle income,1989460000000.0,2177000000000.0,2265080000000.0,2304440000000.0,2185260000000.0
140,Low & middle income,8786540000000.0,9773920000000.0,10606900000000.0,10602900000000.0,10100900000000.0
141,Lesotho,646732650.8,659106771.3,795991196.9,748847657.9,784127072.6
143,Lithuania,11168501870.0,12367766465.0,13770631071.0,13829778752.0,14136024640.0
144,Luxembourg,7525712505.0,7108965027.0,7796302664.0,8171517985.0,8385593784.0
145,Latvia,5200966915.0,5806135357.0,6424319314.0,6475204008.0,6750068327.0
148,Morocco,28657557991.0,30115765580.0,32142636452.0,32552224683.0,31604961671.0
150,Moldova,1795211276.0,2115220250.0,2595292732.0,2697592730.0,2706655360.0
151,Madagascar,2299809346.0,2650067317.0,2955924458.0,3165862100.0,2540617937.0
152,Maldives,488080587.4,534763859.1,678916788.0,653637348.8,445543388.1
153,Middle East & North Africa,1157700000000.0,1271680000000.0,1451300000000.0,1375630000000.0,1099200000000.0
154,Mexico,319664000000.0,358640000000.0,380766000000.0,390588000000.0,324938000000.0
157,North Macedonia,2557449351.0,2742973173.0,3050332872.0,2988141343.0,2811892245.0
158,Mali,2507892264.0,2895989507.0,3453256578.0,3615600341.0,3695219347.0
162,Montenegro,685223599.7,721762313.6,877455125.2,893902384.4,824932193.7
163,Mongolia,3709756454.0,4295950866.0,5004469708.0,5411585400.0,4932415861.0
165,Mozambique,2437707263.0,3174608554.0,3762519721.0,3640007356.0,3033406508.0
166,Mauritania,1613753686.0,1614721856.0,1766376568.0,2245626525.0,2724565952.0
167,Mauritius,2340561422.0,2435892974.0,2593415531.0,2441315348.0,1898472307.0
169,Malaysia,113523000000.0,121629000000.0,137386000000.0,136855000000.0,121297000000.0
171,Namibia,2949985631.0,3362671478.0,3676357140.0,3392664490.0,2730022543.0
173,Niger,2209258569.0,2356942056.0,2528652146.0,2653467231.0,2781750157.0
174,Nigeria,73537404640.0,83848100513.0,108527000000.0,122707000000.0,121969000000.0
175,Nicaragua,3427098983.0,3421228649.0,3255802898.0,3113245999.0,3249364483.0
176,Netherlands,138289000000.0,147621000000.0,162752000000.0,159851000000.0,162460000000.0
177,Norway,103056000000.0,118687000000.0,138934000000.0,117327000000.0,94294043721.0
178,Nepal,3103627080.0,3726495546.0,4370933208.0,4447854347.0,4027861250.0
184,Pakistan,56924189379.0,61393933901.0,66200859474.0,62782394175.0,55847519803.0
185,Panama,16469274779.0,18257896000.0,19141197100.0,19853253000.0,12913027000.0
186,Peru,58636781132.0,66040791290.0,70394328485.0,69522668025.0,60823485651.0
187,Philippines,96499037058.0,98959954575.0,106008000000.0,114281000000.0,102737000000.0
190,Poland,144617000000.0,151425000000.0,169318000000.0,170689000000.0,169934000000.0
194,Portugal,39897966280.0,42317573321.0,46764754624.0,45196074205.0,44433223028.0
195,Paraguay,12325320624.0,13279240130.0,13376440760.0,12576714930.0,11993377263.0
201,Romania,55811908750.0,61174238125.0,70364065354.0,69260742349.0,66731432611.0
202,Russian Federation,372489000000.0,482859000000.0,539532000000.0,544345000000.0,443923000000.0
203,Rwanda,1462080415.0,1599281009.0,1673399192.0,1953633205.0,1898777455.0
204,South Asia,783408000000.0,892392000000.0,919739000000.0,909293000000.0,865234000000.0
207,Senegal,4444780812.0,4887516152.0,5551116084.0,5516979541.0,5689775290.0
210,Sierra Leone,206190305.2,192860732.1,215301474.5,226342281.4,213054939.5
211,El Salvador,6007900000.0,6287630000.0,6524860000.0,6813870000.0,5880880000.0
214,Serbia,10506892204.0,11522857973.0,12912107899.0,13186667693.0,13287020675.0
217,Sub-Saharan Africa,361318000000.0,415691000000.0,473190000000.0,480470000000.0,448858000000.0
221,Slovak Republic,26393596657.0,27474530799.0,31102729248.0,31498834518.0,30052289841.0
222,Slovenia,12519308870.0,13771373863.0,15334043604.0,15702049494.0,15699604306.0
223,Sweden,111965000000.0,119719000000.0,122214000000.0,116939000000.0,118113000000.0
224,Eswatini,1348633165.0,1491680878.0,1550860749.0,1555718513.0,1249496251.0
229,Chad,1379278681.0,1462912595.0,1615014227.0,1614649324.0,1709906558.0
232,Togo,1302930651.0,1363724900.0,1493575799.0,1528321230.0,1719435410.0
233,Thailand,147104000000.0,159811000000.0,176059000000.0,182747000000.0,166108000000.0
234,Tajikistan,2252485419.0,2400119302.0,2671037678.0,2744417863.0,2749009388.0
237,Timor-Leste,315338434.8,250023525.4,256677244.8,618152656.5,794824380.0
239,Tonga,66986742.42,75269667.5,74949402.86,77116510.41,71634561.27
243,Tunisia,10649813780.0,9960858064.0,10110695531.0,9737016085.0,9161570189.0
244,Turkiye,244236000000.0,250240000000.0,228907000000.0,207150000000.0,201863000000.0
246,Tanzania,12373020944.0,13383229244.0,15395421861.0,17497492607.0,17895943324.0
247,Uganda,7641650165.0,8003092410.0,8638738265.0,9411139126.0,9960534778.0
248,Ukraine,21638390219.0,26104539678.0,30488888072.0,34747423159.0,32576425856.0
249,Upper middle income,6690860000000.0,7476770000000.0,8223470000000.0,8177550000000.0,7792190000000.0
250,Uruguay,10788832133.0,11457186662.0,11754883578.0,10932405850.0,9686061197.0
251,United States,3373010000000.0,3590730000000.0,3825490000000.0,3908530000000.0,3687360000000.0
252,Uzbekistan,19743990826.0,14626660361.0,14610997350.0,18864160771.0,18970705396.0
254,"Venezuela, RB",51783546092.297874,51783546092.297874,51783546092.297874,51783546092.297874,51783546092.297874
257,Vietnam,87708909498.0,99572077206.0,113320000000.0,123057000000.0,127359000000.0
259,World,20095400000000.0,21779600000000.0,23535600000000.0,23397400000000.0,22265300000000.0
260,Samoa,121599150.6,116666706.1,102956203.2,109184873.9,96642820.08
263,South Africa,76956844528.0,90062187885.0,95388259443.0,91840438193.0,78573510032.0
264,Zambia,7309700460.0,9651899837.0,9073636528.0,8144510318.0,7290959676.0
265,Zimbabwe,4544352300.0,3764045716.0,10601326039.0,6991979945.0,7048194028.0
