,Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
77,Rwanda,,,-6.602173275,-9.544827553,-2.040704146,-5.005908368,-2.22081567,-2.590581148,-4.413148341,-0.218411963,-1.801320321,-2.019978587,-1.233751088,2.274462099,1.124332736,-0.029012676,-1.555701078,0.825955226,0.259224325,-0.638694678,-0.860707625,-2.38177809,-1.270072114,-3.917709307,-2.682030464,-2.270757525,-2.516651162,-2.571612761,-5.074200415,-9.533099135,-6.998987388,-6.361496346,-5.723973913,-5.164168485,-4.178977531,-3.775211887,-3.6
80,Sri Lanka,-7.972537516,-4.951440056,-5.774540619,-7.405552746,-7.110119594,-6.892287398,-5.710359367,-6.785599896,-5.583949333,-7.777838189,-8.480272856,-6.904441726,-6.152273326,-6.322859786,-5.933252353,-5.913277332,-5.808207168,-5.930205426,-8.327736252,-6.727562636,-6.00943299,-5.439399571,-5.004734167,-5.991644604,-6.638963111,-4.997481459,-5.098197934,-4.955525473,-7.519227906,-12.06045039,-11.63600582,-9.787844534,,,,,
81,Nicaragua,,,,,,,,,,,0.340528839,2.068782853,1.296053106,1.694838845,1.715671021,1.037551967,1.323846028,-0.40461622,-1.475677905,-0.129764167,-0.060518631,-0.149669949,-0.722808135,-1.241112901,-1.549720942,-1.834805964,-1.77959591,-3.023358211,-0.262397949,-2.205765657,-1.699698436,-2.915989663,-1.90039764,-1.535403326,-1.455799508,-1.143726453,-1.70764186
82,Nigeria,-1.662685198,1.326477091,-8.554766999,-4.165606738,3.550315156,4.748212483,1.599203981,-4.892000471,-1.95844854,4.065055724,-3.221992192,1.342477322,-2.195152295,5.488352319,4.90767945,8.759047318,-1.116384672,5.696888121,-5.325943344,-4.171479476,0.431936968,-0.128606741,-2.662044799,-2.428760931,-3.798570394,-4.643813401,-5.414891504,-4.314981875,-4.690389826,-5.578108123,-6.044871417,-6.240475866,-5.765302625,-5.85559008,-6.038497605,-6.200502147,-6.295184245
83,Norway,-0.118882445,-2.065565195,-1.643094446,0.041252456,2.961094771,6.007766543,7.352170523,3.066914658,5.718314222,15.06484511,13.19339899,9.044948643,7.22115079,10.86577829,14.77301108,17.95050886,17.11022976,18.63774605,10.24166959,10.92962744,13.35486341,13.76736516,10.67440864,8.629196126,6.024071988,4.055681007,4.995505832,7.863586482,6.583725365,-2.814098878,9.111361389,20.30616637,17.78689192,16.00500228,14.33582189,13.23556969,12.17084314
84,Pakistan,,,,-4.022198816,-4.322292393,-4.805582064,-4.286561413,-4.948524702,-3.403128594,-3.562274084,-2.718692356,-2.943918641,-0.13117015,-1.436535659,-2.50039698,-2.919347807,-4.546174027,-6.272212781,-4.48482934,-5.342113711,-5.979480289,-7.668384156,-7.435532993,-4.311054202,-4.667943246,-3.923260741,-5.171266447,-5.673293644,-7.789131389,-7.031588643,-6.04559345,-7.808576463,-4.795032231,-4.144550243,-3.828824359,-3.566349946,-3.342303385
85,Peru,,,,,,,,,,,-2.153764492,-1.403800951,-1.622006561,-1.032734878,-0.435681849,2.02912779,3.348358349,2.483017141,-1.385608717,0.122095216,2.012563131,2.049463703,0.733350097,-0.227421831,-2.11713665,-2.241345742,-2.914109642,-1.987371513,-1.356167175,-8.323241233,-2.54783148,-2.266860972,-2.347185969,-1.885197045,-1.232122393,-0.469847334,-0.221074279
86,Philippines,-0.261848909,-0.434115567,0.628617553,-0.444680686,-0.016032423,0.537036155,0.367057702,-1.308515891,-2.287514488,-3.273769477,-3.494121809,-3.706824254,-3.491060452,-2.807019248,-1.624638178,-0.046357841,-0.284924301,0.016475724,-2.568889507,-2.253638815,-0.304079353,-0.29399883,0.187422363,0.826417643,0.585938333,-0.353222391,-0.371964815,-1.552480186,-1.657903695,-5.72927646,-6.459942348,-5.437328552,-4.660745691,-3.680281222,-2.813654217,-2.04918838,-1.593820293
87,Poland,,,,,,-4.855456919,-4.621967659,-4.267365118,-2.30683638,-4.008516013,-4.74417019,-4.817610238,-6.036106149,-5.007643945,-3.938344548,-3.539422912,-1.882521896,-3.606117998,-7.252035222,-7.400869548,-4.967253501,-3.790772004,-4.225116305,-3.645774227,-2.596234848,-2.38585001,-1.487108527,-0.244773291,-0.736961676,-6.912153466,-1.868976253,-4.124101797,-3.058465646,-4.226694688,-4.157171188,-4.037341888,-3.921058128
88,Portugal,-7.934035385,-5.198424423,-8.062312878,-7.37243596,-5.146931436,-4.635421127,-3.657363514,-4.308013945,-2.991183354,-3.401337076,-4.786319436,-3.784994058,-5.621501111,-5.975178721,-6.111479653,-4.09067102,-2.93997153,-3.699582586,-9.872567217,-11.39839197,-7.663219876,-6.179761681,-5.104507946,-7.308948032,-4.40165664,-1.935023256,-2.9560167,-0.348984473,0.115329374,-5.839946024,-2.829015755,-1.862775243,-1.395859852,-1.123036233,-1.006335988,-1.075198972,-1.19905793
89,Romania,3.229649265,-4.552457333,-0.34982198,-2.19957437,-3.320022929,-4.738327069,-5.187122268,-5.329424962,-3.578793464,-3.988470827,-3.201223514,-2.594812818,-2.286232983,-3.393431562,-0.690414795,-1.359979181,-3.046269936,-4.604743749,-6.858105868,-6.441204546,-4.352388547,-2.614687991,-2.584165695,-2.121709383,-1.49354249,-2.458851242,-2.976472131,-2.949422292,-4.923790521,-9.806435269,-6.86008714,-6.415085475,-5.289430942,-5.023870625,-4.877599121,-4.803508331,-4.368819163
90,Russian Federation,,,,,,,,,-3.586600528,3.107075867,2.991244534,0.672593623,1.350124439,4.57475069,7.596959645,7.803539032,5.585366969,4.5494902,-5.888910069,-3.193876296,1.431818865,0.382340787,-1.162177877,-1.069956332,-3.386423807,-3.670080744,-1.468925155,2.923323248,1.929614932,-3.998697497,0.798238366,-2.298728873,-2.052412984,-1.182777953,-0.398849212,-0.145490785,0.041133964
92,Senegal,,,,,2.407289396,0.921537013,0.980116506,0.92713551,-0.615476591,0.781855161,-1.44136481,0.190711366,-0.51617328,0.184422381,-0.263032543,-3.66518227,-2.797821263,-3.53109852,-3.66282914,-3.937663912,-4.924469194,-4.184508792,-4.335438181,-3.896273247,-3.663397441,-3.27210404,-2.968032331,-3.662643211,-3.853051536,-6.404580523,-6.297084554,-6.171367956,-4.478760855,-3.01100291,-3.001324657,-3.014549183,-2.986472008
94,Slovak Republic,,,,,,-9.81582005,-6.266330282,-5.297077746,-7.173019399,-12.63099713,-7.220592686,-8.220554198,-3.120095469,-2.314229283,-2.874284945,-3.578512954,-2.050396274,-2.523377839,-8.14938935,-7.50261709,-4.322083576,-4.368948582,-2.888544854,-3.114749359,-2.672985497,-2.582386791,-0.982320598,-1.011851714,-1.295933991,-5.468330016,-6.150061881,-4.012426839,-4.244254494,-3.745195634,-3.337698158,-3.121774335,-3.218879798
95,Slovenia,,,,,,-1.093247059,-2.306941784,-2.326111596,-2.971567227,-3.645023895,-4.450602193,-2.374238808,-2.594745699,-1.941132611,-1.324123434,-1.231001929,-0.049039873,-1.393777834,-5.813007345,-5.599784402,-6.629230462,-3.99467083,-14.57852709,-5.507210178,-2.847428486,-1.919234878,-0.053009325,0.743521165,0.420949826,-7.897602327,-5.180743737,-3.129194387,-2.83008377,-2.31888591,-1.876675223,-1.762588751,-1.683520449
96,South Africa,,,,,,,,,,,-1.015463634,-0.958147438,-1.588173289,-1.043936763,-0.10291293,0.814831847,1.21881642,-0.485690261,-4.668769617,-4.520303042,-3.704964813,-4.037954565,-3.905114742,-3.924273151,-4.373993778,-3.72499293,-4.015834079,-3.742434002,-4.709854654,-9.67212322,-6.036731067,-4.897494708,-5.36012102,-6.166709534,-6.612435992,-7.037453205,-7.519314614
97,Spain,-4.584653708,-4.269929251,-6.89839034,-6.322850298,-6.80183734,-5.888375551,-3.866533741,-2.631692888,-1.238329325,-1.16076073,-0.454926083,-0.316722522,-0.375062635,-0.095178588,1.231564543,2.124079644,1.88621705,-4.572251048,-11.27591944,-9.526628377,-9.739575451,-11.55078222,-7.530568002,-6.113114465,-5.311389304,-4.299809667,-3.103281185,-2.594952541,-3.063063787,-10.26785555,-6.872586744,-4.933131256,-4.422910244,-4.161357523,-4.100801605,-4.28660654,-4.286589451
99,Sweden,0.305510724,-8.457138966,-10.82439357,-8.729767966,-6.973142582,-3.091031949,-1.54972307,0.845833885,0.633121572,3.136389703,1.406460998,-1.409094128,-1.216326232,0.20203562,1.810967611,2.135076504,3.331196966,1.920959554,-0.836294624,-0.090077712,-0.3376159,-1.113439552,-1.462616061,-1.524570908,0.012299113,1.034783221,1.42271703,0.818361554,0.564339607,-2.790571392,-0.260335082,0.096856852,-0.360827373,0.72216223,0.572922459,0.400967036,0.343849022
100,Switzerland,-1.846826717,-2.960800333,-3.14507495,-2.592937988,-1.858296641,-2.014239708,-2.33367782,-1.306635932,-1.572477317,0.281993655,0.20747886,-1.745749271,-1.358939967,-1.392950132,-0.646201581,0.846426614,1.575662252,1.934778226,0.498068787,0.354301316,0.683617276,0.235252682,-0.432456545,-0.247067183,0.545701586,0.238326704,1.130260692,1.290079648,1.341112643,-3.023544195,-0.747301318,-0.139119247,0.270499367,0.403202946,0.388383562,0.419153901,0.431777508
101,Tanzania,,-4.958785044,-2.023239438,-3.737071552,-2.117470592,1.570933934,-0.026471672,0.132649965,-1.138976744,-0.730489235,-0.414088584,-0.726687209,-1.774952997,-2.433816886,-3.276093708,-3.383750057,-1.44348043,-1.91719457,-4.46352826,-4.743837971,-3.511364762,-3.996943201,-3.759214945,-2.911427175,-3.168578542,-2.083237999,-1.158023828,-1.931632913,-1.980139939,-2.503417591,-3.099743485,-3.116605425,-3.253689644,-2.944199402,-2.645550057,-2.546465119,-2.494798743
102,Thailand,,,,,,2.749301283,-1.680828895,-6.292091253,-9.017192244,-1.792068001,-1.768093556,-6.722498641,1.978324178,1.105924705,2.17304018,1.866659795,0.219944574,0.801032877,-2.213973862,-1.069704512,0.094141532,-0.860479551,0.515540594,-0.800922331,0.13237768,0.569430053,-0.424881961,0.064059625,-0.815436658,-4.713196336,-7.027861605,-5.576860663,-3.169413314,-3.165306319,-3.362147059,-3.342185292,-3.470472034
104,Uganda,,,,,,,,-0.704580448,-1.23720658,-0.623678685,-0.993817731,-2.068174876,-0.96912042,0.342505422,-0.16996894,-0.637013441,-0.815082587,-1.994766341,-1.609836154,-4.644662136,-2.042710281,-2.385337726,-3.190482822,-2.740455131,-2.519382113,-2.61216755,-3.55079526,-3.022523054,-4.821834459,-7.468529567,-7.741137402,-5.529004383,-4.690499087,-3.951542206,-3.223490357,-1.540948256,-3.780730121
105,Ukraine,,,,,,-3.093274027,-5.373913832,-2.687960264,4.954458362,-3.186267271,-3.031377244,-1.84119974,-0.893075984,-4.414977932,-2.276962102,-1.364704915,-1.967389628,-3.138849767,-6.271518025,-5.772013794,-2.76155758,-4.307064511,-4.784336315,-4.459976275,-1.159825106,-2.228727628,-2.293801832,-1.924379622,-1.927335152,-5.918002884,-3.325580498,,,,,,
106,United Kingdom,-2.646638965,-5.448896961,-6.656607217,-5.727518162,-4.956822795,-3.531641555,-1.977671284,-0.306715896,0.63111222,1.352753755,0.216195296,-1.871320367,-3.102534187,-3.042194747,-3.113479312,-2.745066438,-2.633094359,-5.095224275,-9.985935573,-9.195413706,-7.435898818,-7.569618121,-5.467792801,-5.497286482,-4.507413141,-3.303220509,-2.352772319,-2.159236196,-2.20943447,-12.76066892,-7.985309634,-4.274131701,-2.252211888,-1.479237385,-1.377254514,-1.254539974,-0.991590085
107,United States,,,,,,,,,,,,-3.814422048,-4.764259435,-4.237157935,-3.06826339,-2.029220591,-2.905704959,-6.604442496,-13.17027673,-10.98271809,-9.702940276,-8.101544548,-4.547543597,-4.049080733,-3.531946155,-4.373343817,-4.601602957,-5.330608487,-5.45628515,-14.4916207,-10.90649721,-4.02857197,-5.711268336,-6.573731245,-7.39546353,-7.3350557,-7.072667421
108,Uzbekistan,,,-11.95216255,-4.472884414,-1.769658195,-1.570536838,-2.048985542,-3.039163395,-2.906823583,-3.656908051,-3.278347196,-6.314540223,-4.871950383,-3.74113297,-3.521035255,2.722160671,3.554055237,5.970999651,1.818659929,2.561481844,5.109829284,5.885252278,2.1514224,1.898119725,-0.277268365,0.704305414,1.148478614,1.971623013,-0.326207051,-3.272525782,-4.674414195,-3.958478684,-2.930617442,-2.907971549,-2.933934231,-2.985161356,-3.013366265
109,Vietnam,,,,,,,,,-1.245925401,-1.605298969,-2.192236614,-1.854854447,-2.558549626,-0.149549058,-0.953925795,0.200579869,-1.738695464,-0.447187085,-4.824294863,-2.250905538,-0.900955874,-5.46226463,-5.964025798,-5.016688996,-4.983223683,-3.163970782,-1.964006587,-1.025698288,-0.401514397,-2.889275397,-3.466468035,-4.684462609,-4.669543257,-4.367763908,-4.04892092,-3.774556253,-3.352801233
111,Zambia,,,,,,,,,,,-5.892186391,-4.498904659,-5.314294719,-2.508440648,-2.372064414,16.91274579,-1.036850222,-0.667891772,-2.057125339,-2.432209004,-1.783438537,-2.831892505,-6.207700838,-5.79906306,-9.538398184,-5.690863327,-7.498812702,-8.308662167,-9.407188844,-13.78274722,-8.433813913,-9.509372577,-9.085501349,-8.064791405,-6.518898902,-6.65062054,-3.886607869
126,Bangladesh,0.442274508,0.355790684,0.426016452,0.032056048,-0.376739331,-2.014710377,-1.940527594,-2.196612848,-1.349645487,-2.495755872,-3.439108826,-2.304819079,-1.957904162,-2.207668024,-2.398161728,-2.147528073,-1.86386098,-3.364729062,-2.679681507,-2.233345862,-2.964583095,-2.555972216,-2.856794877,-2.618950491,-3.289744759,-3.162914254,-4.167013437,-4.068462459,-5.408219166,-4.840447187,-3.605373441,-5.1,-5.5,-5.3,-5.123949613,-5.039638652,-5.03227103
127,Cyprus,,,,,,-2.956362634,-4.821219576,-3.85107839,-4.053845759,-2.239735724,-2.107402184,-4.130672729,-5.907264971,-3.71166906,-2.22433614,-1.041243492,3.228145915,0.865878293,-5.433321732,-4.696596565,-5.6657796,-5.566186229,-5.172576675,-0.234077831,0.18564391,0.244067367,1.957975639,-3.583541159,1.296398507,-5.75680339,-1.65874141,-0.49823514,0.914829932,1.287654309,1.564489011,1.692200241,1.68844244
128,Tajikistan,,,,,,,,,-4.03175014,-5.554753176,-3.18848011,-2.441323133,-1.762024288,-2.368758614,-2.898959988,1.705167011,2.232457357,1.803957994,-0.309020305,-2.97868327,0.866415803,0.589504209,-0.901501823,0.849356076,-1.972164486,-8.979236295,-5.655703804,-2.693969176,-2.052800576,-4.339408901,-0.680772099,-2.5,-2.485393856,-2.481034232,-2.483197696,-2.49621458,-2.544781185
130,Lithuania,,,,,,-4.24612128,-1.705048174,-5.596197483,-8.28331117,-3.985274189,-3.621424891,-1.796199609,-1.266856014,-1.533644318,-0.504971415,-0.447073428,-0.999299027,-3.269354208,-9.341737194,-6.899187932,-8.931396335,-3.141071102,-2.614627463,-0.664273823,-0.207788313,0.259193261,0.454155165,0.597168394,0.264634189,-7.268250413,-1.00138851,-1.985221237,-1.720734686,-1.509999202,-1.368572195,-1.300772819,-1.012432262
131,Fiji,,,-1.830889902,-0.190562647,0.767827977,-3.351468877,-4.48276478,5.21346506,1.09888248,-1.36669275,-4.404844547,-3.584986113,-3.339139959,-0.952479916,-1.1441011,-0.740544936,0.295148029,1.335928602,-2.866934146,-1.258244746,-0.686522662,-0.669215085,-0.07620479,-3.355773232,-3.833480872,-5.582510067,-2.03619274,-4.28422141,-3.556428209,-8.729384596,-14.13174209,-12.42015125,-10.29886585,-8.30610507,-7.633443344,-7.207133479,-7.045178018
133,Lesotho,9.835445297,4.738445255,7.55318358,5.694375183,5.132549112,2.113916912,0.266791399,-11.78793319,-15.30211727,-0.959985156,-2.7262054,-2.387396402,0.921222365,6.092264377,4.415688825,11.45650259,9.458479851,3.555905489,-6.158281278,-3.389915291,-9.988618999,4.239488842,-3.106434589,2.960537974,-1.413084259,-8.901759354,-1.089699682,-4.756991058,-7.452543147,0.215051484,-4.417482499,-6.635895866,-5.93904424,-4.972286251,-4.295894161,-2.378687475,-1.988152348
134,Malawi,,,,,,,,,,,,,-2.602409801,-2.612929713,-1.629495765,-0.048299869,-2.556166712,-2.924176008,-2.968777618,0.625491058,-2.849799059,-1.45384004,-3.727255632,-3.08256259,-4.168907772,-4.902310666,-5.150079746,-4.345596131,-4.549471994,-8.182709703,-8.94758255,-7.132495313,-7.957434172,-6.812931192,-6.169425657,-5.151750704,-4.137938128
135,Mauritania,,,,,,,,,,,,,,,-3.157998999,2.049594643,-1.381907798,-3.321092557,-3.591920274,-0.450843019,0.074445315,1.665969653,-0.661569499,-2.639528711,-2.442532221,0.132042365,0.530741098,3.226516929,2.591568254,2.7357814,2.797486849,-2.103931562,-2.398318785,-1.962421806,-2.261583845,-2.596041696,-2.649531356
136,Panama,,,,,-2.665708684,1.62918814,-0.778927949,-2.599261935,-0.957072792,-0.564226021,-2.162733456,-3.058377249,-4.373241395,-4.550079819,-2.434277532,0.475247992,3.200345614,0.385805669,-0.881863937,-1.713025887,-1.864309318,-1.405969086,-2.226543945,-3.126501646,-2.421168181,-1.974958651,-2.16383489,-3.193840478,-3.394923548,-10.35810506,-6.661800687,-4.03281292,-3.022694391,-2.016500127,-1.523450465,-1.530641865,-1.523673498
138,Serbia,,,,,,,,,,,0.36022864,-2.590096027,-2.655655675,0.065933255,1.044527918,-0.927731032,-0.833899512,-1.787971119,-3.433188847,-3.484937483,-3.905057099,-6.359644356,-4.992577579,-5.852923722,-3.379494801,-1.119070043,1.369755911,0.811166235,-0.004562657,-7.242202649,-3.310346982,-2.761795224,-1.39889026,-0.975762246,-1.016799258,-1.06167153,-1.09843964
141,Jamaica,3.967601495,3.185847854,2.664881154,2.657328315,1.646650631,-5.453256965,-6.712351798,-5.96907576,-3.624164942,-0.819423957,-5.013552109,-6.942111087,-5.816881233,-4.802685254,-3.386604909,-5.028681071,-3.924004717,-7.622443134,-11.38298899,-6.437442921,-6.50714474,-4.155650824,0.121494536,-0.504221824,-0.294269909,-0.197399508,0.460329175,1.19626041,0.919468641,-3.058054432,0.781905318,0.278202531,0.307561657,0.306969643,2.455383219,2.55795575,2.590576202
143,Montenegro,,,,,,,,,,,,,-4.049843664,-2.449932467,-1.414348335,4.331086791,8.431067607,-2.295634015,-6.712356986,-4.869465523,-6.733923739,-5.843170144,-4.490775956,-0.698126512,-5.960589713,-6.178046507,-6.811979929,-6.213197641,-1.768113209,-10.933781,-1.707677906,-4.978466697,-4.58514844,-5.20026386,-5.694420052,-6.264185314,-6.463124007
150,Bhutan,-0.517032775,-3.729230363,5.057586924,-0.138559763,-0.950632394,2.744254347,-2.058304784,1.372068329,-1.376169603,-3.643187645,-13.07516333,-4.654306391,-10.99683842,1.941298341,-7.508358122,-0.079272218,0.853084953,-2.755329622,-0.862306083,2.100541881,-3.353221595,-2.333813089,-5.033079104,2.926805186,-0.199832818,-1.934947337,-4.786056182,-2.580629847,-1.168445173,-1.692094634,0.127874308,-9.985229323,-8.770276027,-5.614982496,-4.597345778,-2.857444373,-2.719400439
153,Botswana,,,,,,,,,,8.948543416,-2.964400734,-4.02249122,-0.180257435,1.41829536,10.71121397,13.71568278,5.918588916,-7.59126934,-14.41982371,-8.355128684,-0.11670365,0.915195726,6.070143283,3.884206387,-5.062025462,0.716520386,-1.155323968,-5.073155835,-8.431285152,-11.44775078,-2.732239896,-1.546481959,1.109760784,2.358588868,2.533905752,2.515954503,2.469327864
156,Bulgaria,,,,,,,,,0.150669235,-0.604752803,-0.580088456,-0.61432026,0.002552001,1.593250814,2.187148295,3.22108651,3.088241658,2.7336331,-0.855506206,-3.769872117,-1.8338337,-0.43415047,-1.751798528,-3.651737303,-2.773706163,1.539022717,0.822980641,0.12289889,-0.957215925,-2.944205577,-2.945814246,-3.250812809,-1.98103282,-1.288742181,-1.117986746,0.136403977,0.524035436
157,Albania,,,,,,,,-9.925556476,-8.841427942,-7.772064132,-6.83716591,-6.211610794,-5.006109116,-5.162748126,-3.457787955,-3.263216216,-3.179136855,-4.884198091,-6.586478234,-3.520121859,-3.516311953,-3.440600383,-5.215218883,-5.457544146,-4.317810631,-1.497589917,-1.405554022,-1.316540615,-1.944197118,-6.713410738,-4.515075647,-4.078058879,-3.650616146,-2.873168077,-3.005298664,-3.021578388,-3.014935534
164,"Gambia, The",,,,,,,,,,,-2.522861367,0.059382814,-1.732202164,-1.7660224,-3.332376241,-3.193722105,0.274808161,-0.454398519,-1.647543535,-2.927866698,-3.013881237,-2.822915823,-5.065033087,-3.936774188,-5.375322951,-6.224009695,-4.348708194,-5.737855916,-2.548126479,-2.17599928,-4.619055035,-4.36421562,-2.685957611,-1.451823575,-0.927788789,-0.45827251,-0.358758134
167,Belize,,,,,,,-1.866501168,-2.802530228,-6.85347739,-7.026199023,-7.508524083,-5.61026899,-8.682912828,-4.667945752,-3.826566415,-2.338254363,-0.194175632,1.280849732,-2.499676751,-1.919185399,-1.065913651,-0.225585577,-1.208270298,-1.723507577,-5.130191661,-4.495778463,-3.485019935,-1.374442279,-2.914575132,-7.278860487,-1.924656759,-1.792309007,-1.599465413,-1.567071068,-1.556957578,-1.657549499,-1.656792954
168,Bosnia and Herzegovina,,,,,,,,,-2.782004805,-4.636680688,-3.453171335,-2.995440641,-0.443560243,-0.183507254,0.759527836,2.149340776,0.173865791,-3.904629716,-5.345513464,-4.06070758,-2.729788825,-2.684882354,-1.281935441,-2.872162548,-0.19655537,0.34593077,1.813818651,1.656165085,1.386633254,-4.679799522,0.747631693,0.501981338,1.079867683,1.006754438,1.124929905,1.216743472,1.16396637
169,Guinea-Bissau,,-0.252381998,-0.337747663,-5.541399775,2.449644226,3.478052566,-2.55580984,-5.954428769,-4.064589499,-2.800830636,-1.825661848,-3.70366484,-5.627553397,-5.91951606,-4.960269796,-4.574471073,-8.774457664,-0.734810049,2.679352216,-0.225076328,-1.353676216,-2.122832796,-1.672842256,-2.435816657,-3.161462609,-5.341001642,-1.320655423,-4.764123282,-3.861457398,-9.637570672,-5.693081227,-4.449911029,-4.048938367,-3.528621805,-3.018750304,-3.009272674,-2.998140036
170,Jordan,-9.907114977,1.82824842,-2.107970963,-2.274442993,-1.692776945,-3.204256498,-2.941032813,-5.39817081,-2.696573917,-3.994973032,-2.773532517,-4.478142112,-2.531711278,-1.089015514,-5.421345333,-3.88640627,-5.119809272,-4.797207512,-8.842168272,-7.814288075,-9.817935211,-14.32902597,-10.06691883,-8.475494494,-8.38929576,-3.657406372,-3.584064621,-4.659822758,-6.013184464,-8.589741121,-8.046302008,-5.859850095,-6.549722751,-5.901899937,-4.07664562,-3.573043217,-3.094884534
172,Costa Rica,-2.410503222,-1.513649672,-1.522542038,-5.461607904,-3.683910402,-4.322043805,-3.390160076,-2.964826134,-2.881497527,-3.683747924,-3.47052369,-4.992425787,-3.432176192,-3.415232679,-2.783864883,-1.429195003,0.309217054,-0.281115346,-3.439932266,-5.210408732,-4.129323123,-4.460375549,-5.441560389,-5.734284986,-5.479264641,-5.129306492,-5.971554845,-5.730079516,-6.732246131,-8.442127173,-5.1320955,-4.335659829,-3.995229281,-3.150530558,-2.612567015,-2.302934555,-2.000844909
180,Tunisia,,-3.451425729,-3.220934886,-2.87101795,-4.527071151,-5.178711222,-3.703689392,-2.837586872,-3.052411347,-3.215021815,-2.874496552,-2.547300189,-2.644189109,-2.100083357,-2.588801834,-2.334445362,-2.466123339,-0.619393262,-2.586913004,-0.456608974,-3.193155753,-4.898624998,-7.047616831,-3.114746175,-4.948556468,-5.868946777,-5.607335273,-4.265326977,-3.614463354,-9.052464967,-7.592659414,-6.575472897,-5.342969042,-3.467911962,-2.266232198,-2.134708938,-1.728994018
183,Eswatini,3.30219872,-2.814669031,-3.197478919,-3.50911681,0.870096375,-0.971459448,2.046204704,1.040365402,-1.232489052,-1.18753226,-2.246268195,-3.673515978,-2.08510963,-3.980422804,-1.654824395,8.62125017,2.364768277,1.580273527,-2.966778253,-9.240560785,-3.900955292,3.382623033,0.568758685,-2.719072794,-6.165269952,-9.099361474,-6.93796144,-9.661263051,-6.703447917,-4.61903472,-4.695875959,-6.465509372,-2.636656646,-1.620522861,-0.454456719,-0.365537001,-0.296347594
185,Guatemala,,,,,,0.037066655,-0.789871086,-2.291332639,-2.96190769,-1.876629031,-2.003346107,-1.0322005,-2.468632805,-1.04761479,-1.670119167,-1.878487661,-1.403011627,-1.569811649,-3.120003493,-3.277254046,-2.804110762,-2.416249523,-2.163820819,-1.921281986,-1.472112172,-1.110088955,-1.384181338,-1.880525562,-2.236096516,-4.915474182,-1.184858673,-1.891168104,-2.055070991,-2.015001917,-1.876344302,-1.828277523,-1.795906366
187,El Salvador,-2.304631421,-4.288814717,-1.416472235,-0.943044388,-0.176867222,-2.702390388,-1.972371367,-2.93992598,-3.082452401,-3.445502691,-4.945070942,-5.504023432,-3.950802327,-2.759258975,-3.473082246,-3.416040219,-2.324214359,-3.800515106,-6.646329351,-4.965441305,-4.470022011,-3.807931232,-4.457194723,-4.017487813,-3.63214164,-3.104198473,-2.528184423,-2.705906605,-3.070257062,-8.215440829,-5.588834275,-4.789572162,-5.584470127,-5.89047985,-7.032338509,-6.758108287,-6.607622035
189,Georgia,,,,,,-5.906439568,-6.787721913,-3.996806684,-4.723755949,-1.920652957,-0.707233134,-0.18632751,-0.547679837,3.59176379,2.14458992,3.283746628,0.809165518,-1.921932696,-6.364514485,-4.543669568,-0.827435457,-0.727961372,-1.271981037,-1.812926305,-1.184195651,-1.519581028,-0.484457658,-0.816506759,-1.842420924,-9.254575818,-6.020993426,-2.968217885,-2.510435474,-2.210802995,-2.083635813,-2.049572996,-2.033994343
190,North Macedonia,,,,,,,,-1.627108937,0.027719895,2.374911692,-5.882148174,-5.241777265,-0.07222778,0.374057385,0.213175372,-0.507712308,0.577298374,-0.928438863,-2.627694623,-2.410718573,-2.473792833,-3.80691789,-3.8360919,-4.194977172,-3.475241254,-2.701775741,-2.733511728,-1.755243411,-1.967855426,-8.212144265,-5.36241182,-5.268112859,-4.191255068,-3.390025446,-3.18508509,-2.98143255,-2.813078716
191,Maldives,-10.22048926,-12.60424043,-13.88751066,-4.815971257,-5.66214705,-2.012827608,-1.461104414,-2.251008989,-3.028205148,-3.892650351,-3.965632671,-3.96736936,-3.44542693,-2.256836087,-7.806721633,-4.523729991,-3.157810014,-9.924864782,-17.93258965,-13.57974728,-8.130091872,-6.90515655,-3.48684103,-2.418189574,-6.547765606,-9.997560968,-3.06062117,-5.26968161,-6.680924734,-23.50522413,-14.2815099,-16.370753,-11.99503616,-8.821032257,-7.217544517,-5.035413172,-4.698752214
193,Kosovo,,,,,,,,,,,2.922245086,3.394641418,1.570293813,-4.618969711,-2.285693731,2.643792612,6.682631732,0.039073402,1.618183195,-1.009465804,-1.036484516,-2.444515427,-3.420374123,-2.650188546,-2.115887544,-1.70870994,-1.425765024,-2.861426369,-2.926952971,-7.881882997,-1.372919811,-0.968923911,-2.048301583,-2.087673461,-2.064442562,-2.054521508,-2.041989516
195,Paraguay,3.410529309,3.001687502,4.399182129,4.871144365,3.15006038,2.66893573,3.207508871,4.257148273,2.696170829,-0.410659566,0.286484357,-1.856663582,-0.013196598,0.851638893,0.957654465,1.66976586,1.605109818,2.225387447,-0.389268551,0.531161671,1.446613687,-1.20832135,-1.068227969,-0.551439749,-1.813703262,-0.396735787,-0.881853505,-1.540551642,-3.754974926,-7.158766286,-6.15388519,-4.946060887,-3.545195803,-2.404550097,-2.421992094,-2.320253065,-2.232724848
