,Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
21,Estonia,,,,,,-0.894908764,3.016212064,0.685456069,-3.384232956,-0.077744724,0.17737771,0.401552301,1.79405438,2.393440123,1.124800873,2.889076515,2.739726169,-2.649016342,-2.191035858,0.189608645,1.085924658,-0.287117989,0.180611482,0.707407587,0.14381677,-0.412133447,-0.737670972,-0.553116149,0.12207711,-5.467563676,-2.294003069,-2.851729398,-2.25498572,-1.678183888,-1.100074749,-0.573134696,-0.068734835
22,Ethiopia,-5.826596569,-4.780213262,-4.002754641,-5.230469874,-2.677278203,-3.814448325,-1.701994904,-3.51143696,-8.230808193,-8.88036366,-3.760400444,-5.764230504,-5.592003549,-2.651278615,-4.12228972,-3.787920745,-3.567435102,-2.882350064,-0.932116785,-1.320751331,-1.607127794,-1.171938787,-1.930531162,-2.582291152,-1.947067005,-2.300454263,-3.243369513,-3.029069445,-2.533412526,-2.764306795,-2.766823673,-3.056353337,-3.01,-3.01,-3.01,-3.01,-3.01
23,Finland,0.300882929,-4.88114493,-8.083092252,-6.399535575,-5.970633898,-3.366868137,-1.324826049,1.536431097,1.595543509,6.726667742,4.891169068,3.973438573,2.339389386,2.157371597,2.588546758,3.924301752,5.115142833,4.179857411,-2.483672358,-2.53371106,-1.019202214,-2.15980143,-2.524948488,-2.98747686,-2.425432268,-1.69825026,-0.653996226,-0.853243783,-0.945976369,-5.511225403,-2.636110901,-2.077878109,-1.726736306,-2.124428498,-2.658542551,-2.690093791,-2.924372192
24,France,-2.862952904,-4.601130167,-6.358794486,-5.422984116,-5.108542995,-3.905879422,-3.652911523,-2.378585335,-1.602927625,-1.318490313,-1.379209466,-3.160226951,-4.015475885,-3.590570293,-3.355559897,-2.443685608,-2.636244694,-3.26373483,-7.174779051,-6.886671555,-5.154760881,-4.980984334,-4.084094523,-3.904659346,-3.62517467,-3.637256398,-2.958417093,-2.288954541,-3.064650778,-8.876162866,-6.430024684,-5.097353879,-5.577374197,-4.963429524,-4.969110218,-4.96351352,-4.957178029
25,Germany,,-2.6050198,-3.094940288,-2.523844661,-9.432231435,-3.570402523,-2.942100298,-2.566892704,-1.719220386,-1.584664476,-3.025444871,-3.874993176,-3.704201088,-3.334158372,-3.319436615,-1.653152096,0.26088696,-0.116356239,-3.150511299,-4.378646077,-0.881398595,0.009324994,0.039980792,0.579552713,0.960550926,1.160351417,1.336083938,1.949902688,1.530924837,-4.332903627,-3.727410287,-3.321684619,-2.491374606,-1.52504077,-0.850365966,-0.604745319,-0.539779431
26,Ghana,-1.587639948,-4.873862852,-5.866294095,-5.445074123,-4.855772497,-6.02868553,-6.620067356,-5.68872435,-6.088973388,-4.285441234,-3.897886722,-2.922274912,-2.137147827,-2.169125779,-2.009621651,-3.326748253,-5.26193633,-5.906139034,-5.324349748,-7.471213308,-5.472883464,-8.328316218,-9.116926197,-7.81199449,-4.007382892,-6.745807607,-3.966313317,-6.791242265,-7.285041777,-15.29045516,-11.43953054,-9.192416064,-8.550431604,-8.924326939,-8.722687764,-9.726047449,-9.553347915
27,Greece,-9.574698414,-10.58693746,-11.38926197,-8.429982402,-9.813717097,-8.227625088,-6.107574905,-6.321755793,-5.842755917,-4.097675913,-5.512557153,-6.0753199,-7.897021353,-8.902968524,-6.240604168,-5.996555938,-6.764124612,-10.26264024,-15.2766102,-11.29240956,-10.46687784,-6.747495767,-3.776878433,-4.142386423,-3.015269123,0.312138271,0.911523223,0.808652357,0.229195089,-10.93959813,-7.952196029,-4.408819184,-1.875809423,-1.261288244,-1.021450016,-0.777574802,-0.681462053
29,Honduras,-1.94562009,-1.409156446,-5.03320174,-0.98257859,-0.244308974,0.126739541,0.080106089,2.893286383,1.381250156,1.508103363,-3.118870878,-5.015399323,-5.093454515,-2.475410019,-0.032652263,-1.355423713,-0.253748057,-0.266666666,-4.8648519,-3.371280219,-2.942645813,-3.483095592,-5.729798638,-2.89690526,-0.781103247,-0.397364584,-0.407754384,0.197209917,0.088390938,-4.655238345,-3.138849713,,,,,,
30,Hungary,,,,,,-4.376420274,-5.550687301,-7.424333164,-5.276627908,-3.04138711,-3.999402547,-8.79771369,-7.181648235,-6.600796292,-7.794689082,-9.270855733,-5.091020638,-3.787107973,-4.760992634,-4.435598498,-5.218104127,-2.330492314,-2.602712298,-2.780140344,-2.005596996,-1.796485426,-2.458676709,-2.11201049,-2.086037187,-7.789847383,-6.773838589,-4.888169513,-3.12660502,-2.559264541,-1.555633161,-0.732741009,0.534687346
31,Iceland,-0.65873468,-1.862893032,-4.355776441,-4.591717475,-2.870189931,-1.516760288,0.038841491,-0.565290094,1.319185679,1.445682612,-0.280576409,-2.274100265,-2.323740523,0.286576651,5.006561921,6.449373264,5.598607594,-12.13833451,-8.579548214,-6.663366979,-6.530051688,-2.624649014,-1.247724788,0.295011407,-0.395395976,12.54932215,0.954897483,0.912034802,-1.513774669,-8.925127556,-7.940552814,-5.443934108,-3.117130404,-2.102189193,-0.7937688,-0.012889484,0.374804243
