,Unnamed: 0,Country Name,New_debt ,New_fiscal balance,New_GDP growth,New_GDP per capita,New_Inflation rate,New_trade index,New_gini index,New_Intentional homicides,New_Life expectancy,New_School enrollment,New_unemployment,New_ControlofCorruption,New_GovernmentEffectiveness,New_PoliticalStability,New_RegulatoryQuality,New_RuleofLaw,New_VoiceandAccountability,得分
0,0,Albania,0.124328013150531,-0.355177225013621,-0.188921012438476,0.303033249852393,0.181472029139324,0.233898699901895,0.046555136,0.197243689,0.180824519,0.275625568,0.20923493,-0.200880172585474,-0.0868512255405271,0.0660478335954314,0.214520598739874,-0.157995199872993,0.169046395309314,0.008549358125043318
1,1,Argentina,0.0,-0.469513093486431,-0.344052616216927,0.192838621255188,0.252255637872868,0.247933636783369,0.235991615,0.268521083,0.182151712,0.264837777,0.149965114,-0.0869024834891401,-0.352564520075033,-0.0940189182648575,-0.166528371455863,-0.185247676507483,0.335272454546019,0.0072352510223182035
2,2,Armenia,0.118863835494314,-0.315966245338735,-0.180687923656563,0.30715796515817,0.184464177871352,0.273453448645236,0.0,0.218811857,0.180539795,0.224808379,0.17764216,0.00795321165352278,-0.316533472539965,-0.514605416277123,0.240191491229284,-0.0650600626147526,0.0189908330903681,0.0073084755950246294
3,3,Australia,0.0,-0.5865337794164,-0.00401265261380657,0.236486182610673,0.0,0.27567004304365,0.179605302,0.274751441,0.185889593,0.249425549,0.17048414,0.205314776628904,0.225444381651435,0.213856526221689,0.241566144019827,0.22042288219053,0.219571364810225,0.010344014574293701
4,4,Austria,0.0,-0.589115554007029,-0.563874833415754,0.244945298136089,0.138410855949191,0.218090358158,0.065949306,0.204564699,0.184180041,0.240671376,0.108993763,0.21103395416344,0.233342197863484,0.189958749767644,0.220272968723688,0.22925506748763,0.236767909396207,0.0092828075946874
5,5,Azerbaijan,0.0434170787036033,-0.189785100940883,-0.0761622019609079,0.194331995590751,0.271845838075224,0.145636751382284,0.189379063,0.203914184,0.178902743,0.281101466,0.140521289,-0.236667251806049,-0.045209076577751,-0.267923406285135,-0.17943386277024,-0.215290313186012,-0.266451652910805,0.006959687519770092
6,6,Burundi,0.0,-0.202700253597599,0.0206430107441841,0.236499533632436,0.2590590511596,0.297056405607144,0.182574186,0.286975079,0.209100623,0.321478755,0.222803223,-0.29228991028987,-0.241039883999004,-0.212477097419361,-0.233066729871243,-0.249897024074261,-0.308149242189178,0.006887572616604457
7,7,Belgium,0.0,-0.619607133522081,-0.520370362955681,0.244898929091166,0.0915304405781695,0.227489076943057,0.161719106,0.263019512,0.18370368,0.231295852,0.326488487,0.238627828688426,0.168826287117928,0.176915223835156,0.246141672224097,0.232266613949593,0.2219213636081,0.00940226986780998
8,8,Benin,0.0,-0.420793277116122,0.188116022012595,0.275288773663932,0.37213031328092,0.234045120720788,0.222389943,0.228887573,0.18841435,0.223121786,0.204718109,-0.0132894991710818,-0.108913968787424,-0.283375428385079,-0.216858573802854,-0.292492344968386,-0.0630707051986978,0.007646388167481247
9,9,Burkina Faso,0.0,-0.256102731548193,0.0756264235397038,0.300657558194836,0.265648482866032,0.325998302859483,0.244984641,0.181218898,0.198550211,0.387299849,0.073440778,-0.0772791144688454,-0.242093334606132,-0.507947609829399,-0.319587860956796,-0.23380003728799,-0.155135177834454,0.006846865755381966
