,Country Name,ControlofCorruption,PoliticalStability,GovernmentEffectiveness,RegulatoryQuality,RuleofLaw,VoiceandAccountability,GDP per capita,GDP growth,debt index,Inflation rate,fiscal balance,trade index,unemployment,School enrollment,Life expectancy,Intentional homicides,gini index,得分
88,Albania,-0.054525723511466194,0.05399663204859005,-0.004983363775346105,0.02810588321351173,-0.02947919990153707,0.014365868861196807,0.015692726087088514,0.03367784729574274,0.08036523680646733,0.0926622989923081,-0.1234844910723492,0.066355226298407,0.0629771269020482,0.1188668726211935,0.09808281040316527,0.09405073886690607,0.09964768588086544,0.5550682089260184
61,Argentina,-0.05111187054834472,-0.000569077403860006,-0.011155225143676992,-0.10738720122435212,-0.08213328562673536,0.03450539270155793,0.042276068311945185,-0.04768775101661476,0.08855544574251138,0.09494443199577418,-0.09621709460057212,0.1091177182639643,0.09975342622437028,0.14635580150625901,0.09601624998399315,0.08867163112300644,0.09271567295002262,0.6751349159672826
80,Armenia,-0.05257350718853855,-0.03301396494715817,-0.025708885587956077,0.01596681131201801,-0.039604815447087854,-0.056160861251236996,0.013768582051010883,0.06832558182411118,0.09755289276705432,0.0949133898790411,-0.04395612025664273,0.08015491666096536,0.06498975756940033,0.08507541001260314,0.09264245249579266,0.09643845542465848,0.09964768588086544,0.42093349004248065
9,Australia,0.17204621166353753,0.11468409475608583,0.16351398552594856,0.18708269525463211,0.1818842004106293,0.13606194692820126,0.21425735464699966,0.048948012406330794,0.10224793513813063,0.09409398532738658,-0.06604514664461901,0.11744507029972223,0.09975342622437028,0.15887460325036307,0.10295273758950735,0.09863564520670522,0.09964768588086544,0.7302967430851449
12,Austria,0.13644414377770808,0.14118413291063528,0.15863745427304995,0.14929058783934152,0.18375930853732655,0.13902006520712068,0.1774917087814613,0.012550514483295028,0.06478795981282313,0.0926289950571341,-0.06175061471895039,0.06255141878601203,0.09975342622437028,0.1430362216929376,0.10193977759831897,0.09940870715400145,0.09964768588086544,0.6635340109143482
110,Azerbaijan,-0.09511702520857537,-0.06221005131627374,-0.03118709528155196,-0.027043842675676957,-0.06606697990895943,-0.1477954627165986,0.027046546438124607,0.052202771776070876,0.12245727601645458,0.0922430800653555,0.062049224615374675,0.13182225340767345,0.09975342622437028,0.04184859585827194,0.08896217358949458,0.09642237297562926,0.08924966648460121,0.28361578988462444
112,Bangladesh,-0.08299027460216635,-0.09950363301074905,-0.07902097984860672,-0.09620789941423678,-0.07417761111738892,-0.047352740981990805,0.0037993049535627998,0.11503483529419846,0.07967602268898473,0.0916367620856436,-0.05925738021960731,0.04410769336822039,0.09549030257036217,0.02504317301196713,0.08754860623255482,0.09575422725701707,0.09964768588086544,0.24511162251983937
69,Belarus,-0.02183354253400714,0.01997511462520727,-0.0490162249466877,-0.11074138571030606,-0.07726075951185493,-0.14416781040261156,0.028589165019106952,0.03276562488031044,0.11416182939363136,0.07315576572091528,0.002084125419714556,0.08222470604525256,0.08694575882517082,0.16533668896647433,0.09128234013917341,0.09471304619793863,0.0875166632518905,0.7545545155345642
14,Belgium,0.14074200716328847,0.07791617494352737,0.15502531440979825,0.11612358695494417,0.14680171188470936,0.13652388261076676,0.16370572984551207,0.029959498720599553,0.053347621087714715,0.0905267674152823,-0.06913611179531494,0.0674021472132285,0.09785057110622873,0.13190302751707988,0.1016865376067766,0.09768589860306354,0.0914159205254896,0.615555804150949
48,Belize,-0.014800891560092334,0.005397935674782899,-0.0554744018415324,-0.046487677331508874,-0.0771922169722743,0.05196790277418352,0.020797659058349047,0.0776175061120876,0.08887647855678736,0.09195735622692859,-0.03899674474665856,0.08489125420034843,0.09887518701212683,0.04337435164768185,0.091707996906736,0.04718047893810124,0.09964768588086544,0.27064564315984196
79,Benin,-0.062247015561353876,0.00301542645262609,-0.04969825921847336,-0.06253390322909033,-0.045992345694917086,0.026437454088194607,0.004289385190217027,0.12066447869477108,0.08855544574251138,0.08905073378725809,-0.037345851775062854,0.08788522881566099,0.09576475254214731,0.028827295362738366,0.07396209732660537,0.09887635931513883,0.09401542537455565,0.25229251392449686
