,Country Name,ControlofCorruption,PoliticalStability,GovernmentEffectiveness,RegulatoryQuality,RuleofLaw,VoiceandAccountability,GDP per capita,GDP growth,debt index,Inflation rate,fiscal balance,trade index,unemployment,School enrollment,Life expectancy,Intentional homicides,gini index,得分
88,Albania,-0.05623175117375812,-0.003152185875733453,-0.036303431509788736,0.013830149128506199,-0.05663113525543414,0.017109181134124695,0.015389570166261758,0.12659589478192643,0.07407222077491142,0.1044359332277896,-0.09850159271696227,0.06557749552782341,0.08345542345468257,0.06443652947274797,0.09992068948996519,0.09744351987631493,0.10230211727299049,0.37996475066604984
61,Argentina,-0.04040529211610708,-0.009069310162252247,-0.012198309827974377,-0.07058703024197296,-0.06603560184873404,0.03510030694886167,0.031611648439880145,0.06848349569892133,0.08767039054490236,0.09044744408124401,0.007098379264977143,0.10068688594680898,0.09571687766147066,0.1366460348236111,0.09733173056688674,0.09245929041323613,0.08050731837570123,0.3697547350757793
80,Armenia,-0.06619196013474632,-0.0007082416866539658,-0.016713036068507707,0.030232793328488338,-0.0318745255135192,-0.08387686195522105,0.013764213773933878,0.11646757983246132,0.08470347996215151,0.09395443420144864,-0.035424537419692384,0.08167228721958601,0.059441394305835976,0.09735779198808783,0.09315877142794868,0.09702114744862657,0.09874378275914734,0.3695951921140466
9,Australia,0.18836531463843012,0.09866564350409923,0.17464579196809038,0.17741632544077984,0.16600955316372654,0.13379892832887555,0.17493061445235966,0.06023011229213613,0.11634600320381322,0.1044359332277896,-0.022211192357191066,0.12590268772278249,0.09571687766147066,0.17282284158256875,0.10473589824428932,0.1007571249064815,0.10230211727299049,0.9083153232650704
12,Austria,0.16991435290520313,0.13840995001977743,0.1733627828854172,0.16138614563292047,0.18031791413112372,0.13285889388828317,0.18282094296062706,0.024651016097644435,0.06028495147124638,0.1044359332277896,-0.030682731694222264,0.06639263598417858,0.09571687766147066,0.1322889643486853,0.10349621588695194,0.10169118659411137,0.10230211727299049,0.8970078792520317
110,Azerbaijan,-0.10746755095598845,-0.03414076645211245,-0.07678395916524527,-0.03694485595602078,-0.07891076638134559,-0.12959896376690752,0.019629326772478473,0.18160465740851447,0.13054249041982602,0.06237918547472152,0.3467546899712321,0.13755838222549896,0.09571687766147066,0.0382447122512778,0.08854316722462743,0.09907194590854214,0.09318388508126742,0.25107177469863806
112,Bangladesh,-0.09725964332176437,-0.1558819113589974,-0.07222271884944192,-0.09187360036329817,-0.07100356550722177,-0.0432393915734327,0.002218743339311783,0.10150891867419866,0.10164381562896824,0.09408182826693932,-0.06785784800145005,0.04310301897662938,0.09308769230342132,0.017837644329798702,0.08627847154638785,0.09789748512110172,0.10230211727299049,0.22569917025137562
69,Belarus,-0.05194141994671145,0.053885666881578614,-0.11424344960004923,-0.12525711285789606,-0.10087410071450063,-0.15582775339737276,0.022456030753868,0.17216945638684936,0.12420101620109075,0.07833038627444125,-0.21995200052661815,0.08056342155928271,0.08796259899392374,0.14300635928449976,0.09066001116463566,0.09259393951135077,0.09251669735992184,0.2594765546650614
14,Belgium,0.12660595723208318,0.06413433456625434,0.1351484233224855,0.1412153893367036,0.126007046250781,0.12958492661445545,0.17008620100279373,0.0075438707424686155,0.04008994309185105,0.1044359332277896,-0.022089757464144606,0.06970442802702262,0.09571687766147066,0.1246579214871358,0.10252957747766032,0.09926897871458235,0.09518544824530419,0.7902352355252319
48,Belize,-0.028148400324768817,0.019643419411399937,-0.030711580059056866,-0.03838662724645346,-0.012560227556850347,0.06326442496329582,0.019917377453230602,-0.025655210829492636,0.07026196412705465,0.10073570543005037,0.02583141311683836,0.06820364308080053,0.0952806987457058,0.0383475717675398,0.0915541830695596,0.04355399917181759,0.10230211727299049,0.4205186037403382
79,Benin,-0.04776417494152958,0.03890211747499982,-0.0487826555885108,-0.05571637635413602,-0.05008390945088371,0.03370679614076779,0.00386961768340268,0.08265108441109718,0.08767039054490236,0.0966150537577893,-0.0008249397870230187,0.08528467947861901,0.09196089889113737,0.01615744098996655,0.07446345125229926,0.1006934707503368,0.0880687792176179,0.37449397058584066
20,Bhutan,0.08477237294118843,0.07447920883808486,0.03113059720718305,-0.07689981587293392,0.03979681838389935,-0.049429028997919254,0.00626813891582148,0.08101182057693676,0.07074216138440177,0.09560706201010151,-0.0555678437218458,0.10292709145372281,0.0936329152278276,0.013570305450291927,0.08685493953721246,0.09818115353193835,0.10230211727299049,0.5205323688330906
