"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","520717.016442965","548888.589089472","556278.611394182","501824.767376831","535889.079111281","422395.793462187","402104.915715364","488072.613947413","759852.827477125","776944.726701181","501384.861196438","1008906.63182381","855815.80033558","24895567.678608","29512461.2597636","27601218.1356851","46008762.4176883","37485360.4927398","25875551.2033943","27964555.5128833","27878586.1715089","23393195.2776279","28335953.6456145","33255503.1555918","34510962.2537378","33671999.1811243","",
"American Samoa","ASM","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","84239934.1556611","112175639.118713","144173426.842211","236448140.716211","219627480.598233","318736726.93703","279705691.031699","327225266.344294","353445512.217964","511406925.590515","668119733.507015","480460584.681485","604728053.729718","507094765.46898","382747632.738777","456554199.37737","513131613.638841","557240696.993353","551104625.619992","587593115.404292","601097977.385372","602512652.019374","611790501.94312","731133096.677155","762224012.923644","921844880.710355","899567898.235113","761584257.149109","755628388.440406","626870705.647911","738449828.725708","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2413651174.26325","",
"Austria","AUT","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","5613301.74407768","7976861.80137603","9821415.62782916","10859509.368021","9563930.08196471","7253671.11673217","26763715.0321518","23806735.3029472","26047176.6597562","52197638.0025133","57235668.2438643","47656641.066613","34566237.2680494","32561295.6775769","33085546.4898502","35417969.6353523","35432946.0808975","34768708.393465","53386648.3789685","77480806.9548021","94234185.6979735","56235801.9742319","23197691.2175102","22033640.3390352","46814668.7452862","45355119.8180973","64972298.1469164","50996319.2637984","33729312.0206329","29431426.7309169","21328553.8819199","29671077.0238577","59060157.9896863","98684380.1370589","85910556.6912553","95059054.678558","143732223.291849","214869329.043713","254006233.279719","160766019.920277","191676218.291111","207536140.209971","171555586.82743","174501112.678012","178656221.2339","153991791.594263","137795648.874219","137129203.371167","202785268.38524","147611425.497943","117782149.665049","",
"Azerbaijan","AZE","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Burundi","BDI","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","16388799.3976798","13611819.8748499","15569160.9557539","26549727.5180733","29182576.3951545","40869515.215918","35792849.2835756","68063292.8763839","70590946.6440929","64900715.0141487","81796669.1320873","73414706.7274238","109563612.408745","70806280.1054847","66765235.7751693","68187990.4712267","102950758.586225","105364584.925204","112317909.701327","118637523.118047","151353797.187544","148094366.053988","151849120.38715","133648599.086939","157826086.10521","237594960.70294","243465074.101175","229813314.110486","241490064.640789","124583235.118543","131103342.206984","164104571.443044","199328809.20096","317065510.356674","277791225.871378","294161631.65001","300872214.742807","434136029.676458","526392198.613134","535604619.40729","480882852.729448","550080792.730919","398854919.102004","423597286.040727","464983860.577873","477754639.379489","499824344.338076","494957549.457803","336328961.718074","338168581.834352","352623515.801552","",
"Belgium","BEL","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","11897324.6215861","13397581.8156632","16240836.221069","24656815.1526702","25405939.4340199","29083205.5709405","31660256.9549801","28228781.5502131","33888392.3547443","40001769.8392241","45474332.6694114","36669802.6745727","37845604.6045964","34421656.7564006","29785178.1997988","34586499.2190899","42445064.5925278","49398263.3236775","55382369.6042742","73260361.9134826","88559205.2620875","59132076.0340074","54592284.8130671","56945176.527865","57061489.3709466","60873439.915646","63093570.9335399","51504890.6601162","60512977.5885548","58939324.6807325","58232432.7610454","49709685.9565145","61080942.7739871","69000976.7517075","58570951.8542277","60429781.3395156","72454054.8534724","89819425.9911717","94995028.2150463","83684288.8195267","92845837.8705503","91764387.7653618","75817491.9889832","75558963.0666571","70479829.0020961","51752720.3872813","51341424.1320866","47945956.8929103","58185366.8780761","44982563.5547267","47172253.0162093","",
"Benin","BEN","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","22377552.2312839","19410854.4382777","21915181.6117522","36645117.3682841","40492749.4716532","55829040.847684","50080575.0202029","89821817.8090358","91723851.4047092","85021356.5697947","102748626.697318","89809620.7358015","126436091.593038","84174449.8594929","76283009.8961043","55969119.7907531","89981091.4421051","88471783.8568062","97167676.1614402","100620691.852018","125179680.420422","126033328.844414","128354234.510466","107982766.960507","127770344.988251","187893761.595353","186687041.03887","174849553.437719","181474150.524237","115742970.625224","114785209.45003","62591089.695381","19675415.5839057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Burkina Faso","BFA","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
