"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342305545.900805","310169572.56009","211962877.765044","181545379.387212","194111832.612033","210040782.554877","239150814.787802","258264127.98522","284094203.815941","284258422.837629","304129364.465163","331102509.131564","385216371.915275","431455537.5533","520217524.454142","686067462.619752","831995767.484983","1181555852.1791","1381308059.58447","1054049160.07981","1165973948.43309","1220175843.2145","1342044242.91334","1417256706.7861","1476177689.90328","1458907186.38107","1467075542.92451","1550654678.24971","1624463830.45592","1740758145.31827","1609478087.37096","",
"American Samoa","ASM","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","5767276.34422131","6733171.35218572","8926305.05802881","11195422.7258831","12898021.5151497","14410014.1763877","15865284.8574217","17972058.6006525","22646617.8317152","27485105.1396845","32577699.1518009","37986887.8148609","42930378.54788","44643722.4229751","47422981.4694579","47729575.1394609","51162673.4298569","56615471.2477572","60235081.0612428","67110766.44402","73797578.5967427","79410166.7291377","85218961.5506528","89603010.4097569","80677047.0345","81155211.8036802","85983062.3916865","89512191.5021928","101443919.180857","114708216.930483","135762272.987425","139869854.374679","125368772.097762","112875732.835363","106922024.236153","113662347.728787","111684862.814696","117272183.617285","131125677.477659","143851904.881966","146382925.571076","165248599.457746","173380526.210684","148949078.57701","",
"Australia","AUS","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","7078627023.09096","7813544353.55359","8623332026.15916","10367046545.7806","13838691854.9578","15232494835.6472","15991765182.9439","17193620566.5318","18127261700.192","20828720455.9133","23189542569.4613","27330253319.3074","31568865563.5223","28302148143.2969","30733734095.2057","29627061542.5302","31202484801.3449","31764379093.9996","38834311199.6363","49456081214.6613","52453098181.3974","55412541597.3378","55326764852.2824","53223301303.7552","53877188348.1677","61036082327.6769","64644351459","71293394491.5","65768517582.6","63772833610.7","69663812233.6","62903910792.6","65015451521","75663741386.5","100380166750.4","114037424514","122665802446","138893282330.6","173703132482","154157386329.6","184203024450","221364258220","252775091200","265169274900","259862494437","246355227360","213635206620","233523233937","247441106627","245471238348","231241934014","",
"Austria","AUT","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","2294331666.23829","2692010610.94935","3307432900.92122","4342887537.29382","5203247676.26152","6043424767.40445","6278652139.29385","7690792831.61835","9467895177.94075","11132633272.4782","12668014314.0145","11304957801.116","11424987840.2896","11396714752.5722","10743452019.5073","10869456909.6485","15556303225.5046","19596455903.9153","20776248276.784","20791333419.4781","25748937132.4985","27187203180.4784","30937544738.3044","30731634060.7005","32948757226.8495","38203239925.4851","37741944720.3","34162952764.8","35045145921.8","35022220695.7","32001476274","32559726540.9","35568480721.2","44329916112.2","50538678927.8","52978048242.4","55506950184","63385207325.3","71439755423","69992218560","68618001188.8","74646720801.8","72016813333.8","77115064628","79534536291.6","68356593484","70597611730.8","74607852716.8","81795275061.5","81390230241","86369057891.2","",
"Azerbaijan","AZE","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56953927.9482779","213215763.613791","166717182.18143","339979608.015747","353917869.419228","557574726.414922","744089755.860973","713377565.817143","659365221.315784","704284333.745372","790007269.661622","800183280.756273","926691767.572775","1316162470.91122","1696552496.05791","2016781260.93898","2701557935.73084","2640457825.35934","2864565163.22353","3047613017.59226","3266547861.4971","3336902485.63884","4419609843.16345","3555826664.06112","2505170144.75099","2556588426.65487","3005705882.32292","2869823529.40476","2588150092.30553","",
"Burundi","BDI","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","38589603.7309309","39074643.7089836","39994360.1446574","46672498.5239192","52720583.1566374","65206923.5093658","66801819.8577522","78351932.9070947","88654256.0748084","115097429.199524","136251539.248616","142113044.333271","152753172.049652","166000397.480915","155017141.225304","179861782.29078","188492824.446684","182826152.318712","173037359.695926","181797574.921637","180885932.414577","180641715.379536","167396972.451132","148534430.979105","144750831.698829","160606685.670017","142484524.416153","160021564.645243","140106311.36289","127203013.951519","142404485.114569","141907785.871438","130998009.922493","123119486.067822","145488206.8622","186061826.53329","189890648.011758","201123443.244898","231762915.377682","252953359.753288","282313044.792567","303488154.163072","320116598.137671","308959018.356272","330397293.104202","394598209.682069","346317026.798851","373723597.623146","381837701.620365","388833049.652931","439845091.850902","",
"Belgium","BEL","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","3900086361.91822","4284685975.45921","5318221981.33504","6558165463.33796","7828034737.35346","9124065718.0168","9506233392.13482","11578437409.2971","14118765888.4854","16356461739.1613","20101333969.6949","17378281653.2629","15254318053.9769","14422712696.7323","13371170986.568","13710083617.2251","18693764642.6914","22908694538.7628","24181106470.5809","24405016621.2653","30482839671.7324","31840539799.0264","35820752771.6673","34688819654.7403","37438726850.0099","44885469549.4776","44741899058.4","40678198935","42090319655.3","42712620645.6","39227105139.2","40167675554.7","43695264028.2","55412845714.9","63987414584.4","67682120504.6","73013531227.2","84358855126","96598179200","93694077878.7","92734268400.8","101425201563.1","97032278921.6","101841418774.8","103185255581","87641227489.2","89266165578.8","93715669300.4","101527546523.4","100124047213","105694817763.6","",
"Benin","BEN","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","14762936.5623847","15230377.3077158","18883462.8378481","23629213.0690162","25504159.1237159","33089033.9286783","44290544.5415906","44222608.6974554","60221672.4645932","75204304.578146","88441550.68504","70237405.6508264","94050529.8580282","88780876.130045","80714532.372455","71597526.6040984","99159398.5970297","125073613.744927","131675371.918823","139666534.412363","190147594.598644","205009899.245237","195588422.72526","296755692.287409","256897499.52358","365537095.243803","431222260.603085","406454763.712997","442076343.25027","641543144.481584","580016899.204875","584155033.984128","633213992.805452","789148387.796058","893732540.770987","922414772.864231","979105171.532099","1106082770.11529","1360296771.47495","1407794234.43177","1389078709.23305","1501268671.50816","1414221556.76252","1420827147.23184","1453134514.74748","1154843919.90981","1185231615.95561","1342643739.25255","1512400823.02652","1562347653.18095","1742391550.40267","",
"Burkina Faso","BFA","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","16819510.3036488","19123487.4989361","22106796.2693172","28157132.8315631","31573239.2635025","42953377.8148824","47103081.7781428","53631202.8549189","69272623.3371654","84360724.5697656","101089827.738137","94288992.5381885","98863868.737633","99427210.1066197","96834703.6423874","103814703.456596","136479692.235176","169618819.209499","186392177.355272","191069833.46866","234787039.008192","231251627.322704","253703181.308318","240032741.376844","157477633.252456","187479010.278613","201204389.916882","195635250.559742","237911763.167261","287994779.457863","186107084.507378","201138263.882458","235830682.496146","302927407.845624","384179488.442622","439846441.638087","510611321.966048","599107732.130048","770217532.992358","802295642.321185","817462629.710903","932773877.484056","950353514.913973","1089528726.34732","1119028515.41095","874675749.918908","797782693.497847","937442635.416475","1091231360.35114","1212498040.67052","1420470813.28753","",
