,Country Name,ControlofCorruption,PoliticalStability,GovernmentEffectiveness,RegulatoryQuality,RuleofLaw,VoiceandAccountability,GDP per capita,GDP growth,debt index,Inflation rate,fiscal balance,trade index,unemployment,School enrollment,Life expectancy,Intentional homicides,gini index,得分
88,Albania,-0.07638809402153764,-0.0287275309223053,-0.05898301278881425,-0.03155182473584379,-0.07275026224020122,-0.0008026100153692236,0.0098605672985008,0.07595415448440077,0.038706842045850336,0.09022692509265812,-0.1277969780173925,0.0911740545163638,0.09733357922716371,0.040139307859443446,0.10042663968394826,0.09200487536135685,0.10191926889510015,0.32204548392306975
61,Argentina,-0.037686679667830104,-0.074930449760681,-0.021585237013247535,-0.08923617792256171,-0.07263351714320201,0.025610256789076923,0.017847723211313612,-0.18240427133662188,0.08630419355578518,0.09604883061353145,-0.03929920806880136,0.09204631672236124,0.07333153246454957,0.1544126163498202,0.09846548169196498,0.08823175059551493,0.0449765194719268,0.3331125334569179
80,Armenia,-0.07031784809725672,-0.024681131752961435,-0.004323986733093914,0.005707851395535136,-0.041850158674874384,-0.04376535814549906,0.005295293964014969,0.22100506992430305,0.0698624660601911,0.09238242288391635,-0.12529861869474596,0.09332230532791856,0.08579851427307839,0.08895050109176474,0.09397943203418944,0.09882398380920727,0.10191926889510015,0.3672710616297267
9,Australia,0.15916982569834112,0.11476904229254885,0.15675044382020445,0.14399467087418297,0.1686337275047767,0.1385804158149621,0.14039655560591585,0.06686390964873583,0.12141917033562366,0.0973691402667979,0.0039653547144206875,0.09770123895093615,0.09733357922716371,0.1782786461460599,0.10578156089759072,0.0993944740046953,0.10191926889510015,0.8831330701423005
12,Austria,0.17306078714637949,0.1311283762639591,0.1776318949498919,0.15583931023753447,0.1773053084032808,0.12875865910415343,0.18354688906679073,0.027651650758739918,0.07146628729121125,0.09432961398699112,-0.03836046884664911,0.09133539788264765,0.09733357922716371,0.15298441348514308,0.10411611616636138,0.1009942159640982,0.10191926889510015,0.9162039198219152
110,Azerbaijan,-0.10802992320518474,-0.11437828253354038,-0.09307619127423686,-0.07415089909181552,-0.09201578135490793,-0.096634526609006,0.005279826056469487,0.1580339659121202,0.12500233392691268,0.09682308743500687,0.39899118169378933,0.08312897981374708,0.09310888778609837,0.04174519474095855,0.08765529300336078,0.09840168133956938,0.08252572380170053,0.18427122125325573
112,Bangladesh,-0.1309447780539064,-0.09963675242702202,-0.06865736731007818,-0.10693970052946415,-0.09463101549720711,-0.0425638747219377,0.0028227337965939805,0.06417725942335001,0.11430854870426804,0.09741695778407881,-0.04741908708406914,0.09447876425021427,0.09733357922716371,0.01561240345670053,0.08814889079756438,0.09827969625258547,0.10191926889510015,0.20991464751372943
69,Belarus,-0.05944888365794964,0.029218364601635596,-0.09861175289121055,-0.14144133726818284,-0.11932031131856556,-0.14297879306918126,0.010235515477774045,0.08447194637910699,0.13758096107158346,0.0,-0.16062404033534902,0.09221297072607484,0.09526265200956448,0.14787828061023628,0.09005989179014033,0.08724056088705645,0.10191926889510015,0.23474551582177633
14,Belgium,0.13173227878117325,0.12165739361007569,0.18092738526986954,0.1270763871431005,0.1283506143230914,0.13564769086650594,0.17302016897299807,0.02857804144398788,0.023157953016262785,0.09390103567732712,-0.0009012439921933184,0.0938456917591171,0.09733357922716371,0.14612965371137054,0.10331889747624291,0.09764195604787826,0.10047506872857039,0.8432792453966375
48,Belize,-0.00640285402514895,0.04033295473209237,0.02848354022497911,0.015189802147853601,-0.004343225263765413,0.07846970210436222,0.033326856134471325,0.0856067069228327,0.0916486741427146,0.09741695778407881,-0.11542503974641151,0.08931423720015857,0.09310888778609837,0.04062059165708111,0.09098079235144038,0.05338981935951125,0.09309406904449509,0.5107974722345774
