,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,84.82533382,92.85510925,95.04780145,96.55220619,94.86755391,100.9678718,106.8557193,116.7963159,116.9405302,128.607921,133.1429399,127.9954477,90.67836556,113.6657027,171.5262053,260.3515161,132.4574854,123.5144934,166.0064224,190.0357917,216.109852,235.0383907,209.1957418,193.4093731,202.2878488,232.1658218,221.5696191,241.7949085,258.8305367,274.3894238,294.9046567,283.3822853,284.9669776,292.4253474,292.0788195,322.0873898,387.3848632,395.3180524,401.9651801,404.4861431,413.1001853,410.0485409,407.9629676,440.7144048,469.1164584,492.8086489,503.5383322,552.3389345,630.1089792,698.5210262,776.8595769,856.3815861,876.8175451,973.7733926,1108.5151,1236.00506,1659.961605,1815.609426,1963.411855,2122.078851,2233.305524,2457.92488
21,Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,2238.802958,2234.814816,2169.004011,1852.813434,1963.572676,1914.550647,2260.427281,3132.30136,2511.393063,2477.020818,2366.529821,1267.734375,1211.980878,1278.247173,1148.494399,2258.284248,1470.101687,1361.392386,1820.405232,1659.718611,1621.243018,1770.913534,2092.957694,2719.497508,3389.706802,3899.907721,4523.050833,5888.776852,7271.395837,6988.23342,6853.002854,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.717094,9879.334343,10129.81296,12221.49661
24,Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.7831793,497.6828466,712.9536456,907.1257658,1000.398642,1128.272892,1332.122365,1382.80542,1602.695144,2031.322775,2451.821681,2741.118519,3170.11785,3936.940013,4846.776421,4542.282637,4507.054433,4981.035681,4688.376623,5025.074597,5196.8608,4599.901029,4858.775926,5255.807058,5936.101502,6011.370671,6012.062767,7143.310548
25,Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.767944,1765.735895,1667.605057,1590.088117,1460.0655,1370.699283,1452.507105,1396.442019,1511.325316,1210.61172,1276.288034,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5352.583912,6033.686239,6527.173869,6953.132515,7998.125239,8341.399679,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826,6542.797491,7302.257794
26,Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,307.1221794,319.5960911,331.1943575,341.3789425,355.6363845,382.2080741,410.9270086,425.2660002,391.1184815,400.4011107,440.2922372,481.0044363,528.2717866,617.4861737,802.4908589,902.6406399,726.0440815,863.9110609,981.048419,1070.348251,1363.840218,1318.127065,1195.508972,1231.012451,1342.227691,1301.082642,1385.471231,1643.949927,1831.019639,2065.720309,3009.491262,3212.450794,3644.265078,3867.605329,3888.295299,4021.006504,4057.853603,3997.84448,4063.901968,4189.350028,4642.147035,4687.625957,4816.650846,4916.703914,5106.053034,5212.661614,5475.72291,5707.113365,5656.408361,5348.997839,5397.291575,5521.366276,5645.895822,5887.933435,6068.088609,6142.478833,6148.706961,6100.994681,6059.162553,6210.565543,5266.87616,6228.267309
28,Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,100.843655,107.4536576,115.0748126,121.3479157,133.8863944,146.8534781,159.1773484,175.9629213,195.4576872,207.2245478,221.7774646,233.6946457,262.341899,257.6304821,418.8967523,468.9552842,520.9380387,601.6939266,685.0401867,788.0649094,791.0422229,1004.880903,933.7353073,885.9651908,986.8129516,842.0902334,607.0821405,652.7057594,675.7153103,678.6421589,685.9427177,737.5230898,763.2639355,760.1146521,777.4188962,856.3725462,925.8513995,973.9548469,1025.415636,981.7543295,977.336056,930.8780795,888.198576,892.3514969,951.9516229,1018.308928,1200.070588,1351.042925,1687.583393,1725.146286,1922.049531,2304.969835,2562.466784,2853.797162,3022.462884,2975.648811,3013.502708,3280.008213,3471.006951,3472.380831,3068.812555,3345.196589
29,Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,232.9987625,229.3367664,247.8342997,291.4040061,254.838581,265.4753976,325.1731074,348.0211028,370.1804118,395.4413846,439.2209162,494.8027499,577.4515372,806.3545127,1034.16443,1188.619532,1376.347928,1547.694206,1716.707728,1853.019691,1941.259538,2061.349954,2118.564108,1448.009731,1406.6898,1287.612405,1545.928425,1667.18757,1781.817876,2344.730687,2592.627166,2234.362688,2105.107748,2324.499775,3263.562622,4704.961546,5121.905407,5240.128796,5049.766119,3456.423595,3726.81142,3142.277935,2824.679625,3056.624967,3623.247996,4773.248944,5866.096224,7323.033629,8801.599484,8570.022562,11249.46454,13200.78508,12327.31744,12258.50317,12071.15821,8783.225984,8680.768792,9896.684783,9121.083403,8845.259118,6794.489159,7507.160971
32,Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,309.9704783,324.6316645,319.6884097,343.5873984,341.28438,336.9718878,383.1120184,472.292961,514.5836701,486.4403326,515.1084338,423.3147128,440.0007398,433.9124472,496.8453319,550.6065958,564.5374979,644.1460926,652.3509892,699.2570827,722.8525714,764.951103,841.3718347,951.8062703,1050.051242,1201.432967,1299.631488,1714.032453,1780.111536,1768.744739,2194.126452,2491.271677,2470.073677,2409.441856,2589.899754,2695.638773,2879.547121,3240.704766,3210.706269,3303.964211,3009.924171,3266.364905
33,Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,59.29885835,62.74246456,66.44546449,69.37760671,74.01012505,80.19767897,89.52594158,101.3376754,113.7006576,131.8425701,162.5092267,210.9721192,262.4746429,371.4424858,442.5210621,487.9211103,485.3842254,559.6297814,695.0563821,917.6019033,1130.35233,1092.714197,992.0804749,1105.156401,1128.848463,978.9761054,1180.936544,1610.40453,2096.722043,2369.109157,2825.673142,2855.88768,2918.651591,2844.966397,2832.860893,3064.593723,3063.9918,3100.134219,2893.315051,3242.13383,3351.696517,3115.679,3029.784532,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.815863,4938.278893,6041.754284,7080.812813,6393.008265,6436.60945,6844.020288,5869.732943,6411.527159,6705.351862,6947.800812,6679.167674,5863.203241,6805.221274
35,Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2259.250511,2240.433039,2268.585346,2374.498448,2555.111146,2770.361804,3047.106147,3217.159294,3462.678872,3763.953379,4121.932814,4520.162878,5089.587902,5838.660894,7033.011021,7511.211343,8809.26466,8919.057461,9123.691334,10043.66096,11170.56397,12337.46625,12481.87479,13425.12249,13877.91708,14114.80776,14461.06924,16308.96697,18936.9641,20715.63148,21448.36196,21768.34329,20879.84833,20121.16125,19935.38146,20613.78788,21227.34753,21901.56285,21024.58507,22315.24667,24271.00206,23822.06012,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46328.67184,43258.26387,51987.93905
37,Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,1787.360348,1971.316323,2131.391652,2294.182847,2501.29319,2620.475547,2784.733548,2960.722586,3121.889031,3344.783603,,,,,,,,,,,19410.18935,17679.86887,18015.10596,17874.25065,17005.53424,17166.5185,24480.42256,30466.10902,32717.92045,31334.97908,39574.53981,39544.49468,40713.68815,39237.11866,43091.7771,50113.83212,48092.6433,41584.44178,42680.58673,41695.69129,38865.02194,39638.79111,42458.73847,49335.74563,54659.45715,56242.89336,59011.03246,64989.15533,74175.19279,71568.31239,76531.37294,90476.75897,85836.20768,87304.33058,88724.99094,83806.4476,82153.07454,82254.37693,85217.36915,84121.93103,85656.32267,91991.60046
