,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
25,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.68412404,100.8581687,101.8110743,101.8885031,101.0648021,104.1800989,103.0251508,101.0409339,101.0079796,102.5348933,102.7461247,100.1042122,99.52759738,99.72150274,103.5953742,104.116624,104.2352189,106.0203402,105.9974961,107.1954442,
18,Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.83172605,99.92515754,98.4786644,98.42821679,99.36761952,103.1651082,100.5816747,111.6364466,99.26228629,101.2808827,110.2279572,119.3838932,116.9938253,115.5081894,98.81150801,92.99906636,97.76388586,100.6904007,99.97191669,96.90596524,
20,Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,105.7632908,96.78398985,86.39805705,86.7347551,85.10346335,94.4922776,87.19717222,94.50954554,107.6328847,115.0940582,120.575383,119.0595795,118.0629105,119.2541213,118.6521752,133.9855702,128.7721337,120.5844306,122.3939802,124.0050866,
24,Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,187.5,168.9655172,185,159.0909091,182.9268293,184.4155844,136.8421053,133.7662338,121.686747,113.1868132,102.020202,101.0869565,82.29166667,79,91.26213592,89.38053097,100,103.7735849,98.03921569,97.95918367,100,95.81702033,96.2774078,102.2018337,118.2708228,114.8187211,129.2433351,143.9301502,151.7738345,145.9663267,153.3713085,181.1220112,172.2770684,153.9457727,145.8712525,109.1844441,92.24085017,103.6572313,108.7787673,107.8010322,107.0086401,
27,Brazil,BRA,,,,,,,,,,,,,,,,,,,,,73.88535032,61.93181818,59.64912281,57.66871166,62.17948718,62.06896552,73.38709677,65.24822695,84.29752066,74.26470588,66.44295302,78.90625,81.96721311,87.27272727,100.952381,110.3773585,108.3333333,114.4230769,114.2857143,103.1578947,100,99.7753485,98.40117544,97.25000194,98.8866955,99.71589304,104.9823954,108.793436,112.6734729,109.1113358,127.2123978,136.6428946,129.3069759,125.7597432,121.4837064,107.3474416,109.9276522,116.2341709,114.7659498,114.945085,115.6160679,
23,Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,108.4841142,106.6662423,107.8316098,126.5554586,136.9489746,139.8950267,125.8209274,142.6257044,129.4099461,138.7983389,141.7343394,128.1371854,123.3313311,122.6382453,120.5585072,119.4355032,127.7101464,137.8873423,133.6505048,127.7859152,
26,Botswana,BWA,,,,,,,,,,,,,,,,,,,,,83.50515464,74.25742574,67.74193548,62.88659794,68.60465116,82.8125,82.66666667,89.13043478,101.1235955,102.247191,98.13084112,91.81818182,84.16666667,85.47008547,89.56521739,89.3442623,93.75,98.18181818,100,100,100,99.59973987,97.87022934,95.01876463,94.68023002,90.38636039,94.24270961,97.81868721,82.68196521,84.27977791,86.94189646,83.0504784,82.73140673,82.0640653,84.85385893,90.64584105,92.02370547,87.6884652,84.6517402,85.86264511,85.37941898,
36,Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.61979937,94.77285388,100.8020651,106.6568698,111.5616254,111.7299265,115.5862642,121.4922454,106.3659007,115.1932236,117.8183923,114.9119582,116.0515976,115.240223,102.9364752,102.2876123,105.5229537,107.0162567,105.3779356,99.66656624,
189,Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.0443963,102.2146052,101.6106635,101.3580153,98.07817897,96.32077618,96.300493,99.2852186,106.5236266,107.0413025,103.6055837,103.1233745,101.5339843,102.325645,107.8572424,109.6663602,109.6366246,111.4564831,113.764313,,
41,Chile,CHL,,,,,,,,,,,,,,,,,,,,,243.3333333,203.2258065,196.2962963,212.244898,202.0408163,185.7142857,175,155.2238806,142.3076923,125.2525253,113.7254902,113,110.2040816,101.0416667,114.5833333,135.5769231,109.5238095,113,100,100,100,92.75224352,96.35963381,105.6918031,129.1023657,147.6152316,191.8099657,198.4444157,169.6316554,176.2330873,214.4383462,217.8286291,202.7775184,196.4245918,192.466706,187.083291,193.8232397,213.8290237,207.4181555,203.914004,223.9618051,
